,Academic Reputation,Citations Per Paper,Employer Reputation,H-Index Citations,Name,Overall Score,Rank,URL
97,65.2,72.5,87.8,59.9,Waseda University,,51-100,https://www.topuniversities.com/universities/waseda-university
98,72.8,76.2,83.2,68.7,Yale University,,51-100,https://www.topuniversities.com/universities/yale-university
99,66.7,85.3,86.5,78.3,Yonsei University,,51-100,https://www.topuniversities.com/universities/yonsei-university
100,63.2,79.8,84.9,87.1,Zhejiang University,,51-100,https://www.topuniversities.com/universities/zhejiang-university
101,60.4,73.4,73.2,83.3,Beijing Institute of Technology,,101-150,https://www.topuniversities.com/universities/beijing-institute-technology
102,62.7,69.8,83.2,59.9,CentraleSupélec,,101-150,https://www.topuniversities.com/universities/centralesup%C3%A9lec
103,69.1,79.1,65,75.4,Chalmers University of Technology,,101-150,https://www.topuniversities.com/universities/chalmers-university-technology
104,63.6,89.2,67.2,80.9,City University of Hong Kong,,101-150,https://www.topuniversities.com/universities/city-university-hong-kong
105,70.7,70,79,54.3,Ecole Polytechnique,,101-150,https://www.topuniversities.com/universities/ecole-polytechnique
106,62.7,75,69.6,85.5,Harbin Institute of Technology,,101-150,https://www.topuniversities.com/universities/harbin-institute-technology
107,62.3,76.3,75.9,66.7,Hokkaido University,,101-150,https://www.topuniversities.com/universities/hokkaido-university
108,77.2,78.2,62.2,69.6,Indian Institute of Science (IISc) Bangalore,,101-150,https://www.topuniversities.com/universities/indian-institute-science-iisc-bangalore
109,66.3,66.3,82.7,52.7,Keio University,,101-150,https://www.topuniversities.com/universities/keio-university
110,58.8,87.6,64.6,70.5,King Abdullah University of Science & Technology,,101-150,https://www.topuniversities.com/universities/king-abdullah-university-science-technology
111,59.9,78.1,75.3,67.7,King Fahd University of Petroleum & Minerals,,101-150,https://www.topuniversities.com/universities/king-fahd-university-petroleum-minerals
112,55.8,83.6,71,72.2,King Saud University,,101-150,https://www.topuniversities.com/universities/king-saud-university
113,69.2,71.3,78.8,65.7,Kyushu University,,101-150,https://www.topuniversities.com/universities/kyushu-university
114,70.1,77.9,66.4,67.7,Loughborough University,,101-150,https://www.topuniversities.com/universities/loughborough-university
115,65,80,68.5,71.4,McMaster University,,101-150,https://www.topuniversities.com/universities/mcmaster-university
116,68,69.7,75.9,64.6,Nagoya University,,101-150,https://www.topuniversities.com/universities/nagoya-university
117,61.3,86.1,76.9,73.1,National Chiao Tung University,,101-150,https://www.topuniversities.com/universities/national-chiao-tung-university
118,64.9,75.5,77,63.5,National Taiwan University of Science and Technology (Taiwan Tech),,101-150,https://www.topuniversities.com/universities/national-taiwan-university-science-technology-taiwan-tech
119,60.9,76.9,72.2,69.6,National Technical University of Athens,,101-150,https://www.topuniversities.com/universities/national-technical-university-athens
120,62,81.6,63.4,77.6,North Carolina State University,,101-150,https://www.topuniversities.com/universities/north-carolina-state-university
121,63,79.5,63.7,76.2,Norwegian University of Science And Technology,,101-150,https://www.topuniversities.com/universities/norwegian-university-science-technology
122,67,76.1,68.8,71.4,Politécnica de Madrid,,101-150,https://www.topuniversities.com/universities/polit%C3%A9cnica-de-madrid
123,62.2,76.7,73.6,71.4,Pusan National University,,101-150,https://www.topuniversities.com/universities/pusan-national-university
124,59.2,85.6,65.3,71.4,Rensselaer Polytechnic Institute,,101-150,https://www.topuniversities.com/universities/rensselaer-polytechnic-institute
125,58.3,98.2,56.5,85.5,Rice University,,101-150,https://www.topuniversities.com/universities/rice-university
126,65,76.8,75.6,63.5,RMIT University,,101-150,https://www.topuniversities.com/universities/rmit-university
127,58.7,79.2,63.6,80.3,Sapienza University of Rome,,101-150,https://www.topuniversities.com/universities/sapienza-university-rome
128,67.1,78.4,58.4,76.2,Technion - Israel Institute of Technology,,101-150,https://www.topuniversities.com/universities/technion-israel-institute-technology
129,61.4,80.9,72.1,76.2,Technische Universität Dresden,,101-150,https://www.topuniversities.com/universities/technische-universit%C3%A4t-dresden
130,63.7,77.8,65.5,69.6,Vienna University of Technology,,101-150,https://www.topuniversities.com/universities/vienna-university-technology
131,64.2,82.5,61.5,74.6,The University of Nottingham,,101-150,https://www.topuniversities.com/universities/university-nottingham
132,60.1,82.7,75.7,76.2,The University of Queensland,,101-150,https://www.topuniversities.com/universities/university-queensland
133,58.2,75.6,75.6,65.7,The University of Western Australia,,101-150,https://www.topuniversities.com/universities/university-western-australia
134,61.3,84.5,68.7,73.1,UCL (University College London),,101-150,https://www.topuniversities.com/universities/ucl-university-college-london
135,69.8,71.7,69.5,73.9,Universidade de São Paulo,,101-150,https://www.topuniversities.com/universities/universidade-de-s%C3%A3o-paulo
136,65.1,76.5,66.6,61.1,Universidade Estadual de Campinas (Unicamp),,101-150,https://www.topuniversities.com/universities/universidade-estadual-de-campinas-unicamp
137,56.4,78.8,69.6,76.9,University of Naples - Federico II,,101-150,https://www.topuniversities.com/universities/university-naples-federico-ii
138,59.3,79.8,74.8,71.4,Alma Mater Studiorum - University of Bologna,,101-150,https://www.topuniversities.com/universities/alma-mater-studiorum-university-bologna
139,62.6,78.3,63.1,72.2,Universitat Politècnica de Catalunya ,,101-150,https://www.topuniversities.com/universities/universitat-polit%C3%A8cnica-de-catalunya
140,61.1,81.2,69.5,71.4,Université de Montréal ,,101-150,https://www.topuniversities.com/universities/universit%C3%A9-de-montr%C3%A9al
141,73.6,80.6,60.6,72.2,University of Bath,,101-150,https://www.topuniversities.com/universities/university-bath
142,65.9,80.6,64.6,69.6,University of Birmingham,,101-150,https://www.topuniversities.com/universities/university-birmingham
143,61.2,84.7,61.6,76.2,"University of California, Davis",,101-150,https://www.topuniversities.com/universities/university-california-davis
144,63.1,95.1,62.1,82.7,"University of California, Santa Barbara (UCSB)",,101-150,https://www.topuniversities.com/universities/university-california-santa-barbara-ucsb
145,63.6,82,60.6,80.9,"University of Maryland, College Park",,101-150,https://www.topuniversities.com/universities/university-maryland-college-park
146,69.9,83.3,64.9,80.3,University of Southampton,,101-150,https://www.topuniversities.com/universities/university-southampton
147,56.7,85.6,68.9,73.9,University of Southern California,,101-150,https://www.topuniversities.com/universities/university-southern-california
148,59.6,87.4,69,77.6,University of Washington,,101-150,https://www.topuniversities.com/universities/university-washington
149,60.8,81.8,78.7,74.6,University of Waterloo,,101-150,https://www.topuniversities.com/universities/university-waterloo
150,60.3,76.5,70.3,79,Xi’an Jiaotong University,,101-150,https://www.topuniversities.com/universities/xi%E2%80%99-jiaotong-university
151,57.4,80.9,66.8,72.2,Aalborg University,,151-200,https://www.topuniversities.com/universities/aalborg-university
152,58.4,80.1,60.3,73.1,Aalto University,,151-200,https://www.topuniversities.com/universities/aalto-university
153,58.6,81.6,59.5,74.6,Arizona State University,,151-200,https://www.topuniversities.com/universities/arizona-state-university
