,Academic Reputation,Citations Per Paper,Employer Reputation,H-Index Citations,Name,Overall Score,Rank,URL
143,57.7,82.9,67.5,72.5,University of Calgary,,101-150,https://www.topuniversities.com/universities/university-calgary
144,63.3,87,56.4,78.1,University of Colorado Boulder,,101-150,https://www.topuniversities.com/universities/university-colorado-boulder
145,64.3,87.9,58,77.5,University of Florida,,101-150,https://www.topuniversities.com/universities/university-florida
146,64.3,82.1,61.4,70.5,Ghent University,,101-150,https://www.topuniversities.com/universities/ghent-university
147,65.7,80.5,66.1,73.2,University of Houston,,101-150,https://www.topuniversities.com/universities/university-houston
148,62.8,82.5,63.5,73.8,University of Porto,,101-150,https://www.topuniversities.com/universities/university-porto
149,48.1,76.2,86.6,64.2,Waseda University,,101-150,https://www.topuniversities.com/universities/waseda-university
150,67.4,80.3,54.5,69,Washington State University,,101-150,https://www.topuniversities.com/universities/washington-state-university
151,63.3,84.8,60.6,74.5,Washington University in St. Louis,,101-150,https://www.topuniversities.com/universities/washington-university-st-louis
152,56.2,79.6,60.4,65.9,Aalto University,,151-200,https://www.topuniversities.com/universities/aalto-university
153,54.3,87.6,59.3,78.1,Arizona State University,,151-200,https://www.topuniversities.com/universities/arizona-state-university
154,54.3,76.3,66.3,67.5,Beijing Institute of Technology,,151-200,https://www.topuniversities.com/universities/beijing-institute-technology
155,63,68.2,61.9,58.5,Colorado School of Mines,,151-200,https://www.topuniversities.com/universities/colorado-school-mines
156,53.9,77.2,62,77.5,Harbin Institute of Technology,,151-200,https://www.topuniversities.com/universities/harbin-institute-technology
157,58.5,76.5,60.4,64.2,Hiroshima University,,151-200,https://www.topuniversities.com/universities/hiroshima-university
158,59.1,65.5,70.2,48.9,Karolinska Institutet,,151-200,https://www.topuniversities.com/universities/karolinska-institutet
159,51.8,77.9,68.7,75.7,King Saud University,,151-200,https://www.topuniversities.com/universities/king-saud-university
160,46.8,75.8,68.5,67.5,Kyungpook National University,,151-200,https://www.topuniversities.com/universities/kyungpook-national-university
161,61,80.5,52.4,68.3,Laval University,,151-200,https://www.topuniversities.com/universities/laval-university
162,42,88.6,62,86.9,Nankai University,,151-200,https://www.topuniversities.com/universities/nankai-university
163,52.9,75.3,64.5,59.5,National Chung Hsing University,,151-200,https://www.topuniversities.com/universities/national-chung-hsing-university
164,56.4,65,68.1,55.3,National Technical University of Athens,,151-200,https://www.topuniversities.com/universities/national-technical-university-athens
165,49.3,71.8,76.5,60.5,New York University (NYU),,151-200,https://www.topuniversities.com/universities/new-york-university-nyu
166,59.3,71.9,70.7,59.5,Politecnico di Torino,,151-200,https://www.topuniversities.com/universities/politecnico-di-torino
167,62.2,76.6,57,69.7,Queen's University Belfast,,151-200,https://www.topuniversities.com/universities/queens-university-belfast
168,55.3,89.9,53,76.3,Rutgers University - New Brunswick,,151-200,https://www.topuniversities.com/universities/rutgers-university-new-brunswick
169,54.5,79.9,62.9,66.7,Sapienza University of Rome,,151-200,https://www.topuniversities.com/universities/sapienza-university-rome
170,50.5,67.4,80,56.4,Sogang University,,151-200,https://www.topuniversities.com/universities/sogang-university
171,45.9,84.2,72.8,77.5,Sun Yat-sen University,,151-200,https://www.topuniversities.com/universities/sun-yat-sen-university
172,63.3,76.1,54.2,61.5,Technion - Israel Institute of Technology,,151-200,https://www.topuniversities.com/universities/technion-israel-institute-technology
173,58.1,72.5,64.8,61.5,Vienna University of Technology,,151-200,https://www.topuniversities.com/universities/vienna-university-technology
