,Name,Link,Rank in 2017,Rank in 2016,Rank in 2015,3 year average rank,Country,Audit year,Salary today (US$),Weighted salary (US$),Salary percentage increase,Value for money rank,Career progress rank,Aims achieved (%),Careers service rank,Employed at three months (%),Alumni recommend rank,Female faculty (%),Female students (%),Female board (%),International faculty (%),International students (%),International board (%)
65,University of Toronto: Rotman,http://rankings.ft.com/businessschoolrankings/university-of-toronto-rotman/global-mba-ranking-2017#global-mba-ranking-2017,65,60,53,59,Canada,2015,"98,076","101,270",83,100,87,80,84,80 (96),28,23,34,55,74,66,27
66,Wisconsin School of Business,http://rankings.ft.com/businessschoolrankings/university-of-wisconsin-madison/global-mba-ranking-2017#global-mba-ranking-2017,65,68,70,68,US,2014,"117,781","117,284",108,25,86,86,15,88 (100),54,26,41,38,26,22,17
67,Washington University: Olin,http://rankings.ft.com/businessschoolrankings/washington-university-olin/global-mba-ranking-2017#global-mba-ranking-2017,68,80,72,73,US,2015,"114,781","115,349",105,70,60,80,70,96 (98),75,22,25,13,35,39,1
68,Purdue University: Krannert,http://rankings.ft.com/businessschoolrankings/purdue-university-krannert/global-mba-ranking-2017#global-mba-ranking-2017,69,-,48,-,US,2015,"114,732","114,732",113,52,52,80,42,82 (99),71,21,30,22,35,42,3
69,Rutgers Business School,http://rankings.ft.com/businessschoolrankings/rutgers-business-school/global-mba-ranking-2017#global-mba-ranking-2017,70,-,-,-,US,-,"108,479","108,479",130,54,83,82,53,94 (87),77,22,37,18,20,37,3
70,The Lisbon MBA,http://rankings.ft.com/businessschoolrankings/the-lisbon-mba/global-mba-ranking-2017#global-mba-ranking-2017,70,40,36,49,Portugal,2014,"118,442","118,442",88,18,33,78,83,81 (100),87,32,38,50,34,51,50
71,ESMT Berlin,http://rankings.ft.com/businessschoolrankings/european-school-of-management-and-technology?mhq5j=e2,11,20,27,19,Germany,14,8,10,12,19,11,11,6,17,40,21,43,17,11,22,39 (3)
72,University College Dublin: Smurfit,http://rankings.ft.com/businessschoolrankings/university-college-dublin-smurfit/global-mba-ranking-2017#global-mba-ranking-2017,70,79,73,74,Ireland,2017,"113,094","113,094",71,16,66,82,63,88 (92),98,39,44,24,51,72,65
73,Edhec Business School,http://rankings.ft.com/businessschoolrankings/edhec-business-school/global-mba-ranking-2017#global-mba-ranking-2017,74,84,-,-,France,2017,"113,502","113,502",77,3,51,82,76,78 (85),81,37,32,35,46,91,82
74,Durham University Business School,http://rankings.ft.com/businessschoolrankings/university-of-durham-business-school?mhq5j=e2,75,66,79,73,UK,2017,"104,321","104,321",75,7,50,79,96,89 (97),84,39,40,32,62,93,42
75,Melbourne Business School,http://rankings.ft.com/businessschoolrankings/melbourne-business-school/global-mba-ranking-2017#global-mba-ranking-2017,76,87,90,84,Australia,2016,"100,598","100,319",81,27,88,82,78,91 (95),72,31,37,29,69,83,24
76,University of South Carolina: Moore,http://rankings.ft.com/businessschoolrankings/university-of-south-carolina-moore/global-mba-ranking-2017#global-mba-ranking-2017,77,-,96,-,US,2016,"106,404","106,404",115,86,85,82,100,76 (100),97,31,52,23,32,21,0
77,University of Rochester: Simon,http://rankings.ft.com/businessschoolrankings/university-of-rochester-simon/global-mba-ranking-2017#global-mba-ranking-2017,77,86,85,83,US,2016,"115,725","115,794",118,65,73,82,62,95 (90),94,20,34,10,34,67,15
78,Vanderbilt University: Owen,http://rankings.ft.com/businessschoolrankings/vanderbilt-university-owen/global-mba-ranking-2017#global-mba-ranking-2017,79,71,61,70,US,2014,"121,893","122,442",96,67,55,86,20,94 (97),52,19,30,12,19,31,6
79,University of Strathclyde Business School,http://rankings.ft.com/businessschoolrankings/university-of-strathclyde-graduate-school-of-business?mhq5j=e2,80,63,80,74,UK,2015,"98,105","98,105",95,4,29,84,75,97 (89),99,37,40,35,49,86,47
80,Boston College: Carroll,http://rankings.ft.com/businessschoolrankings/boston-college/global-mba-ranking-2017#global-mba-ranking-2017,80,69,90,80,US,2014,"116,433","116,433",90,75,78,85,67,88 (100),45,36,34,8,22,40,0
81,Boston University: Questrom,http://rankings.ft.com/businessschoolrankings/boston-university-school-of-management/global-mba-ranking-2017#global-mba-ranking-2017,82,71,78,77,US,2013,"119,706","119,706",101,63,81,85,89,90 (97),56,35,43,10,27,30,70
82,University of Illinois at Urbana-Champaign,http://rankings.ft.com/businessschoolrankings/university-of-illinois-at-urbana-champaign/global-mba-ranking-2017#global-mba-ranking-2017,83,91,71,82,US,2015,"105,430","105,430",107,55,76,86,66,93 (100),76,25,19,25,20,23,4
83,University of Iowa: Tippie,http://rankings.ft.com/businessschoolrankings/university-of-iowa-tippie/global-mba-ranking-2017#global-mba-ranking-2017,84,94,63,80,US,2012,"103,916","103,916",130,23,98,84,33,80 (100),90,23,19,23,30,40,8
84,University of Pittsburgh: Katz,http://rankings.ft.com/businessschoolrankings/university-of-pittsburgh-katz/global-mba-ranking-2017#global-mba-ranking-2017,85,98,97,93,US,2015,"104,274","104,274",119,53,93,81,55,89 (98),89,29,31,11,17,44,4
85,George Washington University,http://rankings.ft.com/businessschoolrankings/george-washington-university/global-mba-ranking-2017#global-mba-ranking-2017,86,78,90,85,US,2016,"114,340","114,340",97,89,89,83,82,73 (92),73,32,41,13,40,43,8
