,Avg Publication Count,Name,Num. Published Faculty,Rank
172,1.8, Vanderbilt University,7,172
173,1.8, University of Western Australia,5,172
174,1.8, Indiana University-Purdue University Indianapolis,6,172
175,1.8, University of Colorado Colorado Springs,5,172
176,1.7, University of Manitoba,2,177
177,1.7, University of Zurich,4,177
178,1.7, New Mexico State University,3,177
179,1.6, CWI,5,180
180,1.6, University of Warsaw,9,180
181,1.5, University of Massachusetts Boston,4,182
182,1.5, University of Passau,4,182
183,1.5, Brandeis University,2,182
184,1.5, University of Bern,1,182
185,1.5, University of Waikato,3,182
186,1.5, University of Massachusetts Lowell,4,182
187,1.5, Colorado State University,3,182
188,1.4, University of Nebraska,4,189
189,1.4, University of Salerno,8,189
190,1.4, University of Athens,3,189
191,1.4, Concordia University,4,189
192,1.4, IIT Hyderabad,3,189
193,1.4, Victoria University of Wellington,7,189
194,1.4, University of Campinas,4,189
195,1.4, University of Kansas,2,189
196,1.4, University of New Mexico,5,189
197,1.4, Masdar Institute of Science and Technology,1,189
198,1.3, Sharif University of Technology,3,199
199,1.3, NJIT,4,199
200,1.3, Dalhousie University,3,199
201,1.3, OHSU,2,199
202,1.3, University of Wroclaw,4,199
203,1.3, Université libre de Bruxelles,3,199
204,1.3, University of Calgary,4,199
205,1.3, Florida State University,3,199
206,1.3, IIT Guwahati,3,199
207,1.3, Qatar University,2,199
208,1.3, Universidad de Chile,3,199
209,1.3, University of Tartu,4,199
210,1.2, NYU Shanghai,2,211
211,1.2, College of William and Mary,4,211
212,1.2, Massey University,2,211
213,1.2, Boise State University,2,211
214,1.2, University of Otago,3,211
215,1.2, University of Victoria,1,211
216,1.2, Ecole Normale Superieure de Cachan,2,211
217,1.2, University of Luxembourg,2,211
218,1.2, Tulane University,3,211
219,1.2, Clemson University,3,211
220,1.2, IIIT Bangalore,2,211
221,1.2, University of Buenos Aires,2,211
222,1.1, TU Eindhoven,2,223
223,1.1, University of Nevada,3,223
224,1.1, Virginia Commonwealth University,1,223
225,1.1, Aarhus University,2,223
226,1.1, IIT Ropar,2,223
227,1.1, University of Miami,2,223
228,1.1, American University of Beirut,1,223
229,1.1, University of Canterbury,2,223
230,1.1, Queen’s University,1,223
231,1.1, IIT (BHU) Varanasi,1,223
232,1.1, IMDEA Software Institute,1,223
233,1.1, Kansas State University,1,223
234,1.1, University of Kent,1,223
235,1.0, IIT Roorkee,1,236
236,1.0, Auburn University,1,236
237,1.0, Ecole Normale Superieure de Lyon,1,236
238,1.0, Northern Arizona University,1,236
239,1.0, Polytechnic University of Catalonia,1,236
