,Economics and Business global research reputation,Economics and Business international collaboration,Economics and Business normalized citation impact,Economics and Business number of publications that are among the 10 percent most cited,Economics and Business overall score,Economics and Business percentage of total publications that are among the 10 percent most cited,Economics and Business publications,Economics and Business regional research reputation,Economics and Business total citations,Name,Rank,Subject Score,URL,website
52,#227,#16,#28,#105,34.2,#23,#238,#235,#131,University of Miami,"#129
          Tie",34.2,https://www.usnews.com/education/best-global-universities/university-of-miami-135726,http://www.miami.edu
53,#133,#183,#89,#109,33.6,#85,#144,#176,#121,Georgetown University,#134,33.6,https://www.usnews.com/education/best-global-universities/georgetown-university-131496,http://www.georgetown.edu
54,#140,#216,#77,#113,31.9,#92,#139,#197,#113,George Washington University,"#136
          Tie",31.9,https://www.usnews.com/education/best-global-universities/george-washington-university-131469,http://www.gwu.edu
55,#203,#164,#44,#109,31.9,#45,#201,#208,#123,Northeastern University,"#136
          Tie",31.9,https://www.usnews.com/education/best-global-universities/northeastern-university-167358,http://www.northeastern.edu/
56,#141,#230,#155,#127,31.2,#165,#94,#139,#112,George Mason University,"#141
          Tie",31.2,https://www.usnews.com/education/best-global-universities/george-mason-university-232186,http://www.gmu.edu
57,#182,#190,#167,#127,31.1,#168,#88,#176,#114,Florida State University,#144,31.1,https://www.usnews.com/education/best-global-universities/florida-state-university-134097,http://www.fsu.edu
58,#171,#192,#51,#127,30.7,#101,#155,#217,#110,University of California--Irvine,"#147
          Tie",30.7,https://www.usnews.com/education/best-global-universities/university-of-california-irvine-110653,http://www.uci.edu
59,#97,#125,#160,#158,29.7,#124,#197,#131,#192,Johns Hopkins University,"#153
          Tie",29.7,https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928,http://www.jhu.edu
60,#100,#239,#127,#158,24.4,#127,#190,#180,#171,University of Pittsburgh,"#186
          Tie",24.4,https://www.usnews.com/education/best-global-universities/university-of-pittsburgh-215293,http://www.pitt.edu/
61,#175,#218,#202,#174,22.9,#197,#133,#180,#180,Iowa State University,#191,22.9,https://www.usnews.com/education/best-global-universities/iowa-state-university-153603,http://www.iastate.edu
