,Academic Reputation,Country,Employer Reputation,International Faculty,Name,Number of Internal Students,Overall Score,Percent International PostGrad,Percent International UnderGrad,Percent Post Grad Students,Percent Undergraduate Students,Rank,Total Academic Faculty,Total Number of Students,URL
243,47.6,Australia,86.3,499,"The University of Newcastle, Australia (UON)","3,032",,58%,42%,9%,91%,201-250,"1,058","13,012",https://www.topuniversities.com/universities/university-newcastle-australia-uon
244,55.2,United States,89,572,University of Pittsburgh,"2,937",,77%,23%,31%,69%,201-250,"4,982","26,393",https://www.topuniversities.com/universities/university-pittsburgh
245,51.2,Portugal,77.8,61,University of Porto,"1,543",,78%,22%,28%,72%,201-250,"1,750","27,966",https://www.topuniversities.com/universities/university-porto
246,48.9,Australia,84.3,"1,177",University of South Australia,"3,634",,30%,70%,13%,87%,201-250,"1,435","17,388",https://www.topuniversities.com/universities/university-south-australia
247,51,Canada,89.4,246,University of Victoria,"3,103",,30%,70%,16%,84%,201-250,818,"19,087",https://www.topuniversities.com/universities/university-victoria
248,58,New Zealand,69.2,234,University of Waikato,"2,358",,30%,70%,18%,82%,201-250,565,"9,474",https://www.topuniversities.com/universities/university-waikato
249,51.9,Australia,81.8,551,University of Wollongong,"4,730",,59%,41%,24%,76%,201-250,"1,301","18,476",https://www.topuniversities.com/universities/university-wollongong
250,62.3,Israel,88,2,Weizmann Institute of Science,41,,%,%,92%,%,201-250,205,906,https://www.topuniversities.com/universities/weizmann-institute-science
251,43.6,Canada,88,702,The University of Western Ontario,"4,826",,34%,66%,19%,81%,201-250,"1,546","29,037",https://www.topuniversities.com/universities/university-western-ontario
252,56.3,New Zealand,65.8,512,Auckland University of Technology (AUT),"7,736",,26%,74%,19%,81%,251-300,"1,134","18,160",https://www.topuniversities.com/universities/auckland-university-technology-aut
253,60.6,Russia,30.5,16,Bauman Moscow State Technical University,"1,452",,38%,62%,57%,43%,251-300,"4,897","20,328",https://www.topuniversities.com/universities/bauman-moscow-state-technical-university
254,45.1,China,77.8,56,Beihang University (former BUAA),"1,495",,57%,43%,39%,61%,251-300,"2,541","46,241",https://www.topuniversities.com/universities/beihang-university-former-buaa
255,46.4,China,73.3,248,Beijing Normal University ,"1,586",,%,%,58%,42%,251-300,"1,734","20,252",https://www.topuniversities.com/universities/beijing-normal-university
256,48.1,China,68.3,79,Beijing University of Technology,453,,29%,71%,33%,67%,251-300,"1,601","20,958",https://www.topuniversities.com/universities/beijing-university-technology
257,43,Turkey,86.3,43,Bogaziçi Üniversitesi,"1,015",,14%,86%,24%,76%,251-300,447,"11,967",https://www.topuniversities.com/universities/bogazi%C3%A7i-%C3%BCniversitesi
258,42.1,United Kingdom,92.5,349,Brunel University London,"4,735",,37%,63%,21%,79%,251-300,845,"11,795",https://www.topuniversities.com/universities/brunel-university-london
259,58.1,Czech Republic,74,404,Charles University,"8,112",,78%,22%,64%,36%,251-300,"4,618","50,495",https://www.topuniversities.com/universities/charles-university
260,54.6,Thailand,65.7,219,Chulalongkorn University,645,,84%,16%,34%,66%,251-300,"2,841","38,734",https://www.topuniversities.com/universities/chulalongkorn-university
261,43.6,Canada,83.5,361,Concordia University,"8,729",,45%,55%,20%,80%,251-300,"1,329","31,324",https://www.topuniversities.com/universities/concordia-university
262,47.5,United States,79.6,27,Dartmouth College,945,,62%,38%,32%,68%,251-300,939,"6,224",https://www.topuniversities.com/universities/dartmouth-college
