,Academic Reputation,Country,Employer Reputation,International Faculty,Name,Number of Internal Students,Overall Score,Percent International PostGrad,Percent International UnderGrad,Percent Post Grad Students,Percent Undergraduate Students,Rank,Total Academic Faculty,Total Number of Students,URL
368,39.2,United Kingdom,73.8,235,"Kingston University, London","5,837",,26%,74%,17%,83%,351-400,950,"16,950",https://www.topuniversities.com/universities/kingston-university-london
369,45.6,Netherlands,67.4,502,Maastricht University ,"8,234",,33%,67%,37%,63%,351-400,"1,277","16,385",https://www.topuniversities.com/universities/maastricht-university
370,46.6,New Zealand,66.2,516,Massey University,"4,801",,41%,59%,27%,73%,351-400,"1,275","17,263",https://www.topuniversities.com/universities/massey-university
371,40.6,Taiwan,82.2,7,National Chung Cheng University,460,,24%,76%,37%,63%,351-400,602,"10,616",https://www.topuniversities.com/universities/national-chung-cheng-university
372,43.9,Russia,58.8,219,"National Research University Higher School of Economics (HSE, Moscow)","1,861",,41%,59%,26%,74%,351-400,"4,390","26,408",https://www.topuniversities.com/universities/national-research-university-higher-school-economics-hse-moscow
373,49.7,Taiwan,71.3,99,National Taiwan Normal University,"2,269",,34%,66%,36%,64%,351-400,"1,245","8,341",https://www.topuniversities.com/universities/national-taiwan-normal-university
374,37.2,South Korea,76,106,Pusan National University,"1,595",,39%,61%,25%,75%,351-400,"2,203","24,822",https://www.topuniversities.com/universities/pusan-national-university
375,49,Netherlands,85.4,411,Radboud University,"3,133",,38%,62%,38%,62%,351-400,"2,325","20,958",https://www.topuniversities.com/universities/radboud-university
376,43.7,Germany,80.7,137,Ruhr-Universität Bochum,"5,821",,41%,59%,32%,68%,351-400,"1,100","42,427",https://www.topuniversities.com/universities/ruhr-universit%C3%A4t-bochum
377,34.6,China,79.3,193,Shandong University,"1,342",,29%,107%,30%,70%,351-400,"4,176","56,280",https://www.topuniversities.com/universities/shandong-university
378,39.2,China,84.7,168,Southeast University,"1,402",,45%,55%,48%,52%,351-400,"2,771","32,919",https://www.topuniversities.com/universities/southeast-university
379,55.8,United States,88.7,126,"Stony Brook University, State University of New York","6,436",,36%,64%,27%,73%,351-400,"2,147","24,026",https://www.topuniversities.com/universities/stony-brook-university-state-university-new-york
380,45.4,United States,81.5,71,Syracuse University,"3,972",,54%,46%,26%,74%,351-400,"1,346","20,092",https://www.topuniversities.com/universities/syracuse-university
381,37.9,Germany,81.5,,Technische Universität Braunschweig,"2,774",,58%,42%,43%,57%,351-400,"2,348","19,827",https://www.topuniversities.com/universities/technische-universit%C3%A4t-braunschweig
382,43.9,,84.2,,The Open University,,,,,,,351-400,,,https://www.topuniversities.com/universities/open-university
383,41.2,Spain,83.7,37,Universidad de Sevilla,"2,814",,39%,61%,14%,86%,351-400,"3,612","58,606",https://www.topuniversities.com/universities/universidad-de-sevilla
384,45.4,Chile,78.9,53,Universidad Técnica Federico Santa María (USM),180,,24%,76%,7%,93%,351-400,616,"13,014",https://www.topuniversities.com/universities/universidad-t%C3%A9cnica-federico-santa-mar%C3%ADa-usm
385,47.5,Brazil,74.6,74,Universidade Federal de Santa Catarina ,581,,65%,35%,35%,65%,351-400,"2,254","39,006",https://www.topuniversities.com/universities/universidade-federal-de-santa-catarina
386,42.3,Italy,78,149,University of Turin,"4,267",,38%,62%,42%,58%,351-400,"2,679","62,026",https://www.topuniversities.com/universities/university-turin
387,42.8,Germany,85.6,181,Universität Duisburg-Essen,"7,636",,44%,56%,34%,66%,351-400,"1,730","40,979",https://www.topuniversities.com/universities/universit%C3%A4t-duisburg-essen
388,45.7,Germany,68.5,288,Universität Frankfurt am Main,"6,562",,31%,69%,27%,73%,351-400,"3,430","45,427",https://www.topuniversities.com/universities/universit%C3%A4t-frankfurt-am-main
389,48.2,France,70.3,125,Université Paris Dauphine,"2,039",,52%,48%,55%,45%,351-400,697,"8,068",https://www.topuniversities.com/universities/universit%C3%A9-paris-dauphine
390,40.2,United States,87.7,472,University at Buffalo SUNY,"5,604",,49%,51%,31%,69%,351-400,"1,440","27,631",https://www.topuniversities.com/universities/university-buffalo-suny
391,44.1,United Kingdom,73.6,508,University of Aberdeen,"4,246",,36%,64%,23%,77%,351-400,"1,310","12,005",https://www.topuniversities.com/universities/university-aberdeen
392,44.9,United Kingdom,75,440,University of Bath,"4,213",,37%,63%,19%,81%,351-400,"1,165","14,370",https://www.topuniversities.com/universities/university-bath
393,42.8,South Africa,69.1,379,University of Cape Town,"3,325",,30%,70%,18%,82%,351-400,"1,733","19,593",https://www.topuniversities.com/universities/university-cape-town
394,52.2,,84.8,,University of Luxembourg,,,,,,,351-400,,,https://www.topuniversities.com/universities/university-luxembourg
395,44.2,Finland,83.9,149,University of Oulu,539,,91%,9%,42%,58%,351-400,"1,105","10,287",https://www.topuniversities.com/universities/university-oulu
396,50.8,United States,83,488,University of Rochester,"2,805",,55%,45%,38%,62%,351-400,"2,569","9,636",https://www.topuniversities.com/universities/university-rochester
397,41.4,United Kingdom,84.6,467,University of Strathclyde,"4,220",,56%,44%,27%,73%,351-400,"1,430","17,425",https://www.topuniversities.com/universities/university-strathclyde
398,33.3,Australia,93.8,149,Victoria University,"3,434",,30%,70%,14%,86%,351-400,866,"15,059",https://www.topuniversities.com/universities/victoria-university
399,39.2,United States,82.6,479,Washington State University,"1,899",,46%,54%,15%,85%,351-400,"1,977","26,853",https://www.topuniversities.com/universities/washington-state-university
400,45.5,,72.7,,Wroclaw University of Technology,,,,,,,351-400,,,https://www.topuniversities.com/universities/wroclaw-university-technology
401,34.9,,77.4,,Academy of Sciences of the Czech Republic,,,,,,,401-450,,,https://www.topuniversities.com/universities/academy-sciences-czech-republic
402,38.8,,75.7,,Anna University,,,,,,,401-450,,,https://www.topuniversities.com/universities/anna-university
403,50.7,Israel,81.2,233,Bar-Ilan University,"1,000",,30%,70%,52%,48%,401-450,902,"16,681",https://www.topuniversities.com/universities/bar-ilan-university
404,35.1,United States,80.9,45,College of William & Mary,689,,45%,55%,24%,76%,401-450,761,"8,193",https://www.topuniversities.com/universities/college-william-mary
405,39.5,Canada,75,627,Dalhousie University,"3,439",,32%,68%,23%,77%,401-450,"1,007","15,177",https://www.topuniversities.com/universities/dalhousie-university
406,35.3,China,84,142,Dalian University of Technology,"1,007",,51%,49%,37%,63%,401-450,"2,456","40,421",https://www.topuniversities.com/universities/dalian-university-technology
407,45.5,France,72.9,38,Ecole Normale Supérieure de Cachan,260,,97%,3%,85%,15%,401-450,299,"2,015",https://www.topuniversities.com/universities/ecole-normale-sup%C3%A9rieure-de-cachan
408,48.1,France,66.1,91,École Normale Supérieure de Lyon,221,,94%,6%,86%,14%,401-450,382,"2,020",https://www.topuniversities.com/universities/%C3%A9cole-normale-sup%C3%A9rieure-de-lyon
409,39,South Korea,65.6,148,Ewha Womans University,"2,768",,16%,84%,23%,77%,401-450,"2,509","17,190",https://www.topuniversities.com/universities/ewha-womans-university
410,36.4,Taiwan,80.1,22,Feng Chia University,"1,460",,8%,92%,11%,89%,401-450,849,"18,795",https://www.topuniversities.com/universities/feng-chia-university
411,47.6,India,70.1,3,Indian Institute of Technology Guwahati (IITG),50,,94%,6%,52%,48%,401-450,412,"5,473",https://www.topuniversities.com/universities/indian-institute-technology-guwahati-iitg
412,46,Malaysia,66,290,International Islamic University Malaysia (IIUM),"5,115",,51%,49%,20%,80%,401-450,"1,673","24,525",https://www.topuniversities.com/universities/international-islamic-university-malaysia-iium
413,39.8,India,87.2,,Jadavpur University,43,,33%,67%,32%,68%,401-450,767,"9,569",https://www.topuniversities.com/universities/jadavpur-university
414,39.6,China,74.3,611,Jilin University,"1,381",,32%,68%,34%,66%,401-450,"6,994","65,300",https://www.topuniversities.com/universities/jilin-university
415,46.3,Japan,61.9,102,Kobe University,956,,88%,12%,28%,72%,401-450,"1,926","16,356",https://www.topuniversities.com/universities/kobe-university
416,37.6,South Korea,72.7,178,Konkuk University,"1,719",,27%,73%,13%,87%,401-450,"2,566","22,790",https://www.topuniversities.com/universities/konkuk-university
417,53.6,Pakistan,50.7,11,Lahore University of Management Sciences (LUMS),6,,17%,83%,16%,84%,401-450,276,"4,091",https://www.topuniversities.com/universities/lahore-university-management-sciences-lums
418,52.5,Russia,43.2,210,Peter the Great Saint-Petersburg Polytechnic University,"3,282",,24%,76%,24%,76%,401-450,"2,978","17,571",https://www.topuniversities.com/universities/peter-great-saint-petersburg-polytechnic-university
419,43.2,Brazil,82.6,14,Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),163,,28%,72%,10%,90%,401-450,886,"21,339",https://www.topuniversities.com/universities/pontif%C3%ADcia-universidade-cat%C3%B3lica-do-rio-grande-do-sul-pucrs
420,48.2,Pakistan,67.5,8,Quaid-i-Azam University,39,,103%,10%,52%,48%,401-450,401,"13,724",https://www.topuniversities.com/universities/quaid-i-azam-university
421,35.9,South Korea,68.1,77,Sejong University ,994,,42%,58%,12%,88%,401-450,918,"11,882",https://www.topuniversities.com/universities/sejong-university
422,33.2,China,79,19,South China University of Technology,"1,883",,%,%,42%,58%,401-450,"2,644","41,373",https://www.topuniversities.com/universities/south-china-university-technology
423,40.4,United States,80.8,45,Stevens Institute of Technology,"2,231",,94%,6%,46%,54%,401-450,315,"5,811",https://www.topuniversities.com/universities/stevens-institute-technology
424,29.8,China,80,888,Tongji University,"3,880",,43%,57%,52%,48%,401-450,"2,708","35,809",https://www.topuniversities.com/universities/tongji-university
425,50.4,Colombia,57.9,148,Universidad de los Andes,293,,33%,67%,17%,83%,401-450,"1,089","16,665",https://www.topuniversities.com/universities/universidad-de-los-andes
426,38,Italy,83.7,137,University of Florence,"3,897",,40%,60%,44%,56%,401-450,"3,195","53,016",https://www.topuniversities.com/universities/university-florence
427,40.2,Italy,73.9,54,Università degli Studi di Pavia,"1,652",,52%,48%,49%,51%,401-450,"1,141","23,927",https://www.topuniversities.com/universities/universit%C3%A0-degli-studi-di-pavia
428,42.4,Italy,76.2,46,Università degli studi Roma Tre,"1,566",,23%,77%,24%,76%,401-450,817,"34,863",https://www.topuniversities.com/universities/universit%C3%A0-degli-studi-roma-tre
429,45.4,Germany,78,138,Universität Bielefeld,"1,845",,55%,45%,42%,58%,401-450,"1,433","24,255",https://www.topuniversities.com/universities/universit%C3%A4t-bielefeld
430,42.6,Germany,80.4,180,Universität Bremen,"1,786",,47%,53%,28%,72%,401-450,"1,381","18,080",https://www.topuniversities.com/universities/universit%C3%A4t-bremen
431,41.6,Austria,80.7,665,Universität Innsbruck,"5,744",,44%,56%,46%,54%,401-450,"1,571","14,648",https://www.topuniversities.com/universities/universit%C3%A4t-innsbruck
432,40.8,Germany,78,223,Universität Konstanz,"1,500",,44%,54%,23%,78%,401-450,"1,064","11,420",https://www.topuniversities.com/universities/universit%C3%A4t-konstanz
433,45.7,France,73,309,Université Nice Sophia Antipolis,"6,177",,58%,42%,41%,59%,401-450,"1,333","29,547",https://www.topuniversities.com/universities/universit%C3%A9-nice-sophia-antipolis
434,44.9,France,51.1,143,Université Paris 1 Panthéon-Sorbonne ,"9,184",,58%,42%,44%,56%,401-450,"1,330","38,000",https://www.topuniversities.com/universities/universit%C3%A9-paris-1-panth%C3%A9on-sorbonne
435,48.9,France,72.2,132,Université Paul Sabatier Toulouse III,"4,049",,41%,59%,40%,60%,401-450,"2,383","28,766",https://www.topuniversities.com/universities/universit%C3%A9-paul-sabatier-toulouse-iii
436,45.9,,85.5,,USI Università della Svizzera italiana / USI University of Lugano,,,,,,,401-450,,,https://www.topuniversities.com/universities/usi-universit%C3%A0-della-svizzera-italiana-usi-university-lugano
437,37.3,United States,84.4,485,University of Connecticut,"2,797",,65%,35%,26%,74%,401-450,"2,290","24,607",https://www.topuniversities.com/universities/university-connecticut
438,42,India,60.3,17,University of Delhi,183,,95%,5%,96%,4%,401-450,"1,205","23,218",https://www.topuniversities.com/universities/university-delhi
439,32.7,United States,87.1,64,University of Houston,"3,510",,64%,36%,20%,80%,401-450,"1,500","32,750",https://www.topuniversities.com/universities/university-houston
440,35.4,Ireland,67.5,351,University of Limerick,"1,134",,49%,51%,18%,82%,401-450,891,"11,628",https://www.topuniversities.com/universities/university-limerick
441,40.9,United States,75.8,20,University of Massachusetts - Boston ,520,,74%,26%,18%,82%,401-450,840,"12,337",https://www.topuniversities.com/universities/university-massachusetts-boston
442,39.9,United States,82.8,145,University of New Mexico,903,,69%,31%,20%,80%,401-450,"2,219","21,521",https://www.topuniversities.com/universities/university-new-mexico
443,35,Greece,80.7,6,University of Patras,841,,12%,88%,15%,85%,401-450,800,"26,044",https://www.topuniversities.com/universities/university-patras
444,38.5,South Africa,74.7,258,University of Pretoria,"4,211",,48%,52%,19%,81%,401-450,"1,625","43,971",https://www.topuniversities.com/universities/university-pretoria
445,44.1,United Kingdom,69.2,422,University of Reading,"4,077",,50%,50%,26%,74%,401-450,"1,280","13,330",https://www.topuniversities.com/universities/university-reading
446,49.4,United Kingdom,68.7,452,University of Sussex,"5,152",,39%,61%,25%,75%,401-450,"1,215","14,245",https://www.topuniversities.com/universities/university-sussex
447,43.6,Estonia,70.2,119,University of Tartu,832,,87%,13%,48%,52%,401-450,"1,402","10,071",https://www.topuniversities.com/universities/university-tartu
448,39.3,Australia,77,996, Western Sydney University,"4,689",,34%,66%,13%,87%,401-450,"1,666","32,458",https://www.topuniversities.com/universities/western-sydney-university
449,44.3,,56.9,,WU (Vienna University of Economics and Business),,,,,,,401-450,,,https://www.topuniversities.com/universities/wu-vienna-university-economics-business
450,37.6,Poland,74.8,,AGH University of Science and Technology,465,,11%,%,10%,%,451-500,"1,823","26,882",https://www.topuniversities.com/universities/agh-university-science-technology
451,38.2,South Korea,74,55,Ajou University ,561,,66%,34%,22%,78%,451-500,"1,255","11,510",https://www.topuniversities.com/universities/ajou-university
452,37.3,Lebanon,67.8,455,American University of Beirut (AUB),"1,770",,14%,86%,18%,82%,451-500,996,"8,239",https://www.topuniversities.com/universities/american-university-beirut-aub
453,45.1,Thailand,59,102,"Asian Institute of Technology, Thailand","1,650",,66%,34%,75%,25%,451-500,157,"2,289",https://www.topuniversities.com/universities/asian-institute-technology-thailand
454,36.9,United Kingdom,72.7,256,"Birkbeck, University of London","2,702",,38%,62%,35%,65%,451-500,620,"6,870",https://www.topuniversities.com/universities/birkbeck-university-london
455,33.4,United States,81.1,18,Brigham Young University,"1,111",,20%,80%,8%,92%,451-500,"1,492","30,718",https://www.topuniversities.com/universities/brigham-young-university
456,39.2,South Korea,69.5,108,Chonbuk National University,825,,64%,36%,17%,83%,451-500,"2,248","20,790",https://www.topuniversities.com/universities/chonbuk-national-university
457,31.5,United States,79.1,350,Colorado State University,"1,656",,45%,55%,13%,87%,451-500,"2,967","25,902",https://www.topuniversities.com/universities/colorado-state-university
458,41.8,Ireland,52.4,194,Dublin Institute of Technology,"2,620",,25%,75%,12%,88%,451-500,911,"14,734",https://www.topuniversities.com/universities/dublin-institute-technology
459,37.7,United States,77.2,484,Emory University,"2,154",,45%,55%,47%,53%,451-500,"2,560","12,852",https://www.topuniversities.com/universities/emory-university
460,49.5,Hungary,62.2,33,Eötvös Lorànd University   ,"1,675",,48%,52%,42%,58%,451-500,"1,540","22,933",https://www.topuniversities.com/universities/e%C3%B6tv%C3%B6s-lor%C3%A0nd-university
461,32.8,Australia,77.7,809,Griffith University,"6,004",,33%,67%,15%,85%,451-500,"1,882","31,772",https://www.topuniversities.com/universities/griffith-university
462,41,South Korea,74.2,11,Gwangju Institute of Science and Technology (GIST),109,,99%,1%,67%,33%,451-500,169,"1,837",https://www.topuniversities.com/universities/gwangju-institute-science-technology-gist
463,36.4,Turkey,68.4,89,Koc University ,320,,74%,26%,18%,82%,451-500,521,"5,181",https://www.topuniversities.com/universities/koc-university
464,34,Germany,80.7,32,Leibniz Universität Hannover,"3,020",,48%,52%,31%,69%,451-500,533,"26,081",https://www.topuniversities.com/universities/leibniz-universit%C3%A4t-hannover
465,40.1,,77.1,,Lulea University,,,,,,,451-500,,,https://www.topuniversities.com/universities/lulea-university
466,37.2,China,78.2,38,Nanjing University of Aeronautics and Astronautics,911,,28%,72%,34%,66%,451-500,"2,096","27,268",https://www.topuniversities.com/universities/nanjing-university-aeronautics-astronautics
467,38.5,China,80.8,45,Nanjing University of Science and Technology,774,,33%,67%,37%,63%,451-500,"2,165","27,759",https://www.topuniversities.com/universities/nanjing-university-science-technology
468,39.7,China,75.8,209,Northeastern University (China),861,,36%,64%,35%,65%,451-500,"2,307","30,817",https://www.topuniversities.com/universities/northeastern-university-china
469,23.6,Canada,87.6,,Ryerson University,"1,109",,20%,80%,6%,94%,451-500,866,"32,575",https://www.topuniversities.com/universities/ryerson-university
470,35.6,Turkey,70.2,65,Sabanci University,369,,44%,56%,17%,83%,451-500,347,"3,715",https://www.topuniversities.com/universities/sabanci-university
471,36.9,United States,87.9,92,Temple University,"2,743",,41%,59%,23%,77%,451-500,"2,697","33,865",https://www.topuniversities.com/universities/temple-university
472,37.1,United States,73.6,292,Tufts University,"1,267",,62%,38%,50%,50%,451-500,"1,282","10,468",https://www.topuniversities.com/universities/tufts-university
473,46.5,Mexico,58.5,90,Universidad Autónoma de Nuevo León,86,,20%,80%,6%,94%,451-500,"4,027","92,562",https://www.topuniversities.com/universities/universidad-aut%C3%B3noma-de-nuevo-le%C3%B3n
474,46.1,Mexico,64,31,Universidad de Guadalajara (UDG),420,,61%,39%,5%,95%,451-500,"5,773","120,298",https://www.topuniversities.com/universities/universidad-de-guadalajara-udg
475,38.1,Spain,57.9,91,University of Navarra,"1,921",,62%,38%,27%,73%,451-500,"1,015","10,450",https://www.topuniversities.com/universities/university-navarra
476,44.2,Brazil,67.2,119,UNESP,891,,62%,38%,33%,67%,451-500,"3,315","42,201",https://www.topuniversities.com/universities/unesp
477,46.4,Brazil,61.8,22,Universidade Federal de São Carlos (UFSCAR),217,,74%,26%,23%,87%,451-500,"1,278","12,970",https://www.topuniversities.com/universities/universidade-federal-de-s%C3%A3o-carlos-ufscar
478,42.8,France,78.7,333,University of Bordeaux,"4,607",,64%,36%,46%,54%,451-500,"2,833","47,235",https://www.topuniversities.com/universities/university-bordeaux
479,35.3,France,80.1,148,Université de Montpellier ,"5,860",,51%,49%,42%,58%,451-500,"2,107","40,480",https://www.topuniversities.com/universities/universit%C3%A9-de-montpellier
480,34.3,France,83.3,354,Université de Strasbourg,"7,522",,53%,47%,43%,57%,451-500,"2,349","43,319",https://www.topuniversities.com/universities/universit%C3%A9-de-strasbourg
481,31.2,France,78.5,119,"Université Lille 1, Sciences et Technologies","4,071",,56%,44%,38%,62%,451-500,"1,189","20,115",https://www.topuniversities.com/universities/universit%C3%A9-lille-1-sciences-et-technologies
482,47.9,France,70.6,139,Université Paris Descartes,"3,611",,49%,51%,17%,35%,451-500,"1,883","40,616",https://www.topuniversities.com/universities/universit%C3%A9-paris-descartes
483,52.6,Malaysia,54.6,21,Universiti Tenaga Nasional (UNITEN),575,,33%,67%,8%,92%,451-500,417,"8,231",https://www.topuniversities.com/universities/universiti-tenaga-nasional-uniten
484,41.2,Malaysia,59.7,91,Universiti Tunku Abdul Rahman (UTAR),194,,35%,65%,2%,98%,451-500,"1,115","20,490",https://www.topuniversities.com/universities/universiti-tunku-abdul-rahman-utar
485,48.9,Malaysia,49.2,136,Universiti Utara Malaysia (UUM),"2,641",,57%,43%,21%,79%,451-500,"1,106","13,594",https://www.topuniversities.com/universities/universiti-utara-malaysia-uum
486,41.3,Switzerland,73.9,684,University of Basel,"3,441",,64%,36%,49%,51%,451-500,"1,057","12,852",https://www.topuniversities.com/universities/university-basel
487,35.3,United States,82.3,133,University of Central Florida,"1,324",,62%,38%,11%,89%,451-500,"1,866","48,364",https://www.topuniversities.com/universities/university-central-florida
488,34.8,China,77.1,35,University of Electronic Science and Technology of China,29,,10%,90%,35%,65%,451-500,"1,905","31,315",https://www.topuniversities.com/universities/university-electronic-science-technology-china
489,32.9,United Kingdom,70.3,597,The University of Exeter,"5,504",,33%,67%,18%,82%,451-500,"1,756","20,749",https://www.topuniversities.com/universities/university-exeter
490,48.1,,72.6,,University of Haifa,,,,,,,451-500,,,https://www.topuniversities.com/universities/university-haifa
491,39,United States,74,284,University of Kansas,"2,070",,55%,45%,27%,73%,451-500,"3,324","24,133",https://www.topuniversities.com/universities/university-kansas
492,40.9,United Kingdom,73.4,450,University of Leicester,"4,080",,45%,55%,22%,78%,451-500,"1,391","13,745",https://www.topuniversities.com/universities/university-leicester
493,41.1,Slovenia,80.7,73,University of Ljubljana,"2,113",,50%,45%,39%,61%,451-500,"3,629","40,432",https://www.topuniversities.com/universities/university-ljubljana
494,44.6,United States,85.4,50,"University of Maryland, Baltimore County",936,,53%,47%,14%,86%,451-500,778,"11,738",https://www.topuniversities.com/universities/university-maryland-baltimore-county
495,31.4,United States,78,77,University of Miami,"2,564",,41%,59%,33%,67%,451-500,"1,837","15,596",https://www.topuniversities.com/universities/university-miami
496,33,United States,90.2,575,University of Nebraska-Lincoln,"3,525",,32%,68%,15%,85%,451-500,"1,953","28,415",https://www.topuniversities.com/universities/university-nebraska-lincoln
497,38.6,China,75.7,40,University of Science and Technology Beijing,863,,51%,49%,45%,55%,451-500,"1,548","24,049",https://www.topuniversities.com/universities/university-science-technology-beijing
498,38.1,United States,83.7,375,University of South Florida,"4,347",,41%,59%,22%,78%,451-500,"2,040","33,413",https://www.topuniversities.com/universities/university-south-florida
499,36.3,United States,83.4,72,Worcester Polytechnic Institute,"1,156",,57%,43%,24%,76%,451-500,452,"5,413",https://www.topuniversities.com/universities/worcester-polytechnic-institute
500,35.7,China,79.9,164,Xiamen University,"1,769",,33%,67%,45%,55%,451-500,"2,692","35,118",https://www.topuniversities.com/universities/xiamen-university
