1st year fee in inr,1st year fee in pounds,application assessment fee inr ,application assessment fee pound ,application fee inr ,application fee pound ,bachelors,books cost inr,books cost pound,bus pass inr ,bus pass pound ,capstone project fee inr ,capstone project fee pound ,class 12th,college fee inr ,college fee pound ,college membership fee inr ,college membership fee pound ,collegename,course costs inr ,course costs pound ,course related costs inr ,course related costs pound ,coursename,deposit fee inr ,deposit fee pound ,duration,examination fee inr ,examination fee pound ,first year cost,general expenses inr ,general expenses pound ,gmat,gmat recommendation,gre,gre recommendation,health cost inr ,health cost pound ,hostel & meals inr ,hostel & meals pound ,housing deposit inr ,housing deposit pound ,ielts,ielts recommendation,insurance inr ,insurance pound ,level,living costs inr,living costs pound,location,misc costs inr,miscellaneous expense pound ,miscellaneous expenses pound ,miscellaneous pound ,mobile expense inr ,mobile expense pound ,nhs health surcharge inr ,nhs health surcharge pound ,orientation fees inr ,orientation fees pound ,other expenses inr ,other expenses pound ,payment administration inr ,payment administration pound ,personal expenses inr,personal expenses pound,placement companies,pte,pte recommendation,rank,residence booking fee inr ,residence booking fee pound ,schol link,schol text,security deposit inr ,security deposit pound ,shikshacourseurl,shishkacollegeurl,social and sporting activities inr ,social and sporting activities pound ,study costs inr ,study costs pound ,toefl recommendation,total inr ,total pound ,transportation inr ,transportation pound ,tuition deposit inr ,tuition deposit pound ,tuition fee deposit inr ,tuition fee deposit pound ,work experience
"23,39,680","28,000",,,,,60%,"20,890",250,,,,,No specific cutoff mentioned,,,,,Durham University,,,,,Master of Business Administration,,,1 Years,,,Rs 30.4 Lakhs,,,600,,,,,,"6,74,747","8,075",,,7,No element below 6.0,,,Masters Program,,,"Durham, UK",,,,,"30,082",360,,,,,,,,,,,,,,11,,,,,,,https://studyabroad.shiksha.com/uk/universities/durham-university/master-of-business-administration,https://studyabroad.shiksha.com/uk/universities/durham-university?refCourseId=200910,,,,,,"Rs. 7,25,719","Pound 8,685",,,,,,,3years
"17,02,117","20,370",,,,,60%,,,,,,,No specific cutoff mentioned,,,,,University of St Andrews,,,,,MLitt in Management,,,1 Years,,,Rs 23.7 Lakhs,,,,,,,,,"6,90,122","8,259",,,7,With minimum score of 6.5 in each component,,,Masters Program,,,"St Andrews, UK",,,,,,,,,,,,,,,,,,69,,12,,,http://www.st-andrews.ac.uk/study/pg/fees-and-funding/scholarships/taught/,"[""Offers Commonwealth Scholarships, Scotland's Saltire Scholarships, Aga Khan Foundation Scholarship, Charles Wallace Trusts Scholarship, Inlaks Scholarships to Indian students""]",,,https://studyabroad.shiksha.com/uk/universities/university-of-st-andrews/mlitt-in-management,https://studyabroad.shiksha.com/uk/universities/university-of-st-andrews?refCourseId=199356,,,,,,"Rs. 6,90,122","Pound 8,259",,,,,,,
"20,89,000","25,000",,,,,60%,,,,,,,No specific cutoff mentioned,,,,,University of Leeds,,,,,Full Time MBA,,,1 Years,,,Rs 26.0 Lakhs,,,Accepted,Required only if an applicant does not have a formal or professional qualification,,,,,"5,31,191","6,357",,,6.5,With no less than 6.0 in each section,,,Masters Program,,,"Leeds, UK",,,,,,,,,,,,,,,,,"['Dell', 'Deloitte', 'Deutsche Bank', 'Osmosys', 'IBM', 'Microsoft', 'Tesco HSC', 'Thomson Reuters', 'Unilever', 'Wipro']",64,With at least 60 in each of the skills,13,,,http://business.leeds.ac.uk/the-leeds-mba/how-to-apply,['It offers a number of part scholarships worth up to 50% of the total fee to candidates who can demonstrate outstanding academic achievement and career progression'],,,https://studyabroad.shiksha.com/uk/universities/university-of-leeds/full-time-mba,https://studyabroad.shiksha.com/uk/universities/university-of-leeds?refCourseId=198193,,,,,,"Rs. 5,31,191","Pound 6,357",,,,,,,3years
"22,64,476","27,100",,,,,60%,,,,,"41,780",500,No specific cutoff mentioned,,,,,The University of Edinburgh,,,,,Master of Business Administration,"1,25,340","1,500",12 Months,,,Rs 27.2 Lakhs,,,600,"GMAT is required if candidate does not meet the minimum academic requirements
If the applicant is required to take GMAT test, then the college would expect a score of 600 to qualify",,,,,"2,58,785","3,097",,,7,No score lower than 6.0 in each section,,,Masters Program,,,"Edinburgh, UK",,,,,,,,,,,,,,,"16,712",200,"['Cairn IndiaLimited', 'Osmosys', 'Deloitte', 'Honda Two Wheelers', 'Motorola', 'Qatar Airways', 'Shell', 'Toshiba', 'Standard Chartered bank']",67,With at least 56 in each Communicative Skills section,14,,,http://www.ed.ac.uk/studying/international/finance/pg-scholarships,['The University of Edinburgh will offer a number of Masters scholarships for postgraduate study in any subject offered by the University for the 2015-2016 academic session.\nThe scholarship will be awarded broadly on the basis of academic merit.'],,,https://studyabroad.shiksha.com/uk/universities/the-university-of-edinburgh/master-of-business-administration,https://studyabroad.shiksha.com/uk/universities/the-university-of-edinburgh?refCourseId=200061,,,,,,"Rs. 4,80,219","Pound 5,747","37,602",450,,,,,3years
"12,11,620","14,500",,,,,No specific cutoff mentioned,"17,548",210,,,,,No specific cutoff mentioned,,,,,Coventry University,,,,,MBA,,,1 Years,,,Rs 16.9 Lakhs,,,,,,,,,"4,59,580","5,500",,,6.5,With a minimum of 5.5 in writing and speaking,,,Masters Program,,,"Coventry, UK",,,,,,,,,,,,,,,,,,,,15,,,http://www.coventry.ac.uk/study-at-coventry/international-applicants/fees-and-scholarships/international-scholarships/,"['', 'Chevening Scholarship - Offers multiple scholarships to students and offers full fee award ', 'Enterprise Award - university offers scholarships to 4 students totalling a maximum of £5,000 per student. Payments will be £4,000 towards tuition fees, with a further £1,000 being awarded to students who go on to achieve a distinction and applicants must hold at least a 2:1 or equivalent ', 'Coventry Academic Performance Scholarship (CAPS) - Offers scholarships to 35 students Worth up to £2000 for one year of study. Applicants must hold at least a 2:1 or equivalent qualifications ', 'Faculty of Business and Law - IDEAS Scholarship - Offers scholarships to 6 students worth up to £3000. Applicants must be a student of Faculty of Business and Law and hold at least a 2:1 or equivalent ', 'India High Achievers Scholarship - Offers scholarships to 4 students worth up to £2000 towards tuition fees. Applicant must hold at least a 1st class degree or equivalent qualifications']",,,https://studyabroad.shiksha.com/uk/universities/coventry-university/mba,https://studyabroad.shiksha.com/uk/universities/coventry-university?refCourseId=210267,,,,,,"Rs. 4,92,168","Pound 5,890","15,041",180,,,,,2years
"17,33,870","20,750",,,,,60%,"27,073",324,,,,,No specific cutoff mentioned,,,,,Cardiff University,,,,,MBA,,,12 Months,,,Rs 24.7 Lakhs,,,,,,,,,"4,62,421","5,534",,,6.5,Subscore of 5.5 in each paper is required,,,Masters Program,,,"Cardiff, UK",,,,,,,,,,,,,,,"2,24,359","2,685",,62,,16,,,http://www.cardiff.ac.uk/for/prospective/international/funding/international-scholarship-fund.html,['Cardiff University offers prestigious international scholarships to postgraduate students'],,,https://studyabroad.shiksha.com/uk/universities/cardiff-university/mba,https://studyabroad.shiksha.com/uk/universities/cardiff-university?refCourseId=198076,,,,,,"Rs. 7,63,571","Pound 9,138","49,718",595,,,,,No work experience mentioned
"23,39,680","28,000",,,,,55%,,,,,,,No specific cutoff mentioned,,,,,University of Strathclyde,,,,,MBA,,,1 Years,,,Rs 27.6 Lakhs,,,Accepted,"Not required, but can be submitted to show strong verbal reasoning and numerical abilities",,,,,"4,30,334","5,150",,,6.5,,"12,534",150,Masters Program,,,"Glasgow, UK",,,,,,,,,,,,,,,,,,,,17,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-strathclyde/mba,https://studyabroad.shiksha.com/uk/universities/university-of-strathclyde?refCourseId=200672,,,,,,"Rs. 4,42,868","Pound 5,300",,,,,,,3years
"20,89,000","25,000",,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,,,,,University of Birmingham,"56,152",672,,,MBA in International Business,,,1 Years,,,Rs 28.6 Lakhs,,,,,,,,,"5,65,618","6,769",,,7,No less than 6.5 in any band,,,Masters Program,,,"Birmingham, UK","1,79,320",,"2,146",,,,,,,,,,,,,,"['General Electric', 'Unilever', 'HSBC', 'Deloitte', 'IBM']",Accepted,67 in all four skills,18,,,http://www.birmingham.ac.uk/schools/business/mba/fees-and-funding/scholarships.aspx,"['1. GREAT Scholarship\n', ""Offers £10,000 scholarship to Indian students on the basis of academic ability, relevant experience and clarity of future plans as determined by the selection committee\n2. Women's Scholarship\n"", 'Offers £10,000 scholarship to females in financial need as determined by the University\n3. International Business Scholarship\n', 'Offers £10,000 scholarship to students who demonstrable experience of undertaking business internationally, with evidence of having undertaken managerial roles in at least two non-native countries\n4. Global Banking and Finance MBA \n', 'Offers £10,000 scholarship to students who demonstrable experience of working in banking or finance with an international dimension to managing or delivering these services']",,,https://studyabroad.shiksha.com/uk/universities/university-of-birmingham/mba-in-international-business,https://studyabroad.shiksha.com/uk/universities/university-of-birmingham?refCourseId=199343,,,,,,"Rs. 8,01,090","Pound 9,587",,,,,,,3years
"19,92,906","23,850",,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,,,,,Loughborough University,,,,,Master of Business Administration,,,1-2 Years,,,Rs 24.7 Lakhs,,,,,,,,,,,,,6.5,"With not less than 6.0 in the individual Listening, Reading, Writing and Speaking tests",,,Masters Program,,,"Leicester, UK",,,,,,,,,,,,,,,"5,01,360","6,000",,62,With no less than 55 in all subtests,19,,,http://www.lboro.ac.uk/study/finance/international/departmental/business/,"['Offers MBA Scholarships, School of Business and Economics Scholarships,  Chevening Scholarship Scheme, Commonwealth Shared Scholarship to international students']",,,https://studyabroad.shiksha.com/uk/universities/loughborough-university/master-of-business-administration,https://studyabroad.shiksha.com/uk/universities/loughborough-university?refCourseId=199218,,,,,,"Rs. 5,01,360","Pound 6,000",,,,,,,3years
"34,25,960","41,000",,,,,60%,"35,095",420,"32,588",390,,,No specific cutoff mentioned,,,,,University of Manchester,,,,,MBA,"83,560","1,000",18 Months,,,Rs 42.8 Lakhs,,,Accepted,"Although there is no minimum score stated, candidate should aim for a score 600+
The middle 80% range for the class is usually 550 - 700",Accepted,"Full-time MBA candidates are normally take the GMAT, however GRE score is also accepted",,,"5,75,311","6,885",,,6.5,"6.0 in listening, writing, reading and speaking",,,Masters Program,,,"Manchester, UK",,,,,,,,,,,,,,,"1,73,805","2,080","['Amazon', 'Deloitte', 'Google', 'American Express', 'Johnson Johnson', 'Osmosys', 'McKinseyCompany', 'Samsung', 'Vodafone']",59,"59 - 65 with 59 in listening, writing, reading and speaking",20,,,http://www.manchester.ac.uk/study/masters/courses/list/01039/business-administration-mba/,['Offers scholarships to international scholarships'],,,https://studyabroad.shiksha.com/uk/universities/university-of-manchester/mba,https://studyabroad.shiksha.com/uk/universities/university-of-manchester?refCourseId=198475,,,,,,"Rs. 9,00,359","Pound 10,775",,,,,,,3years
"19,51,126","23,350",,,,,60%,"33,424",400,,,,,No specific cutoff mentioned,,,,,University of Glasgow,,,,,MBA,,,1 Years,,,Rs 24.5 Lakhs,,,,,,,,,"3,67,748","4,401",,,6.5,No sub-test less than 6.0,,,Masters Program,,,"Glasgow, UK",,,,,,,,,,,,,,,"58,492",700,,60,No sub-test less than 59,21,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-glasgow/mba,https://studyabroad.shiksha.com/uk/universities/university-of-glasgow?refCourseId=200653,,,,,,"Rs. 5,19,325","Pound 6,215","59,662",714,,,,,3years
"20,47,220","24,500",,,,,No specific cutoff mentioned,"25,068",300,,,,,No specific cutoff mentioned,,,,,University of Exeter,,,,,One Planet MBA,,,1 Years,,,Rs 23.0 Lakhs,,,,,,,,,"2,51,181","3,006",,,7,No less than 6.0 in any other section,,,Masters Program,,,"Exeter, UK",,,,,,,,,,,,,,,,,"['Coca-Cola', 'IBM', 'NOKIA', 'canon', 'IKEA']",65,No less than 55 in all skills,22,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-exeter/one-planet-mba,https://studyabroad.shiksha.com/uk/universities/university-of-exeter?refCourseId=198109,,,,,,"Rs. 2,76,249","Pound 3,306",,,,,,,3years
"16,71,200","20,000",,,,,No specific cutoff mentioned,"20,890",250,,,,,No specific cutoff mentioned,,,,,Heriot Watt University,,,,,Master of Business Administration,,,12 Months,,,Rs 20.3 Lakhs,,,,,,,,,"3,53,793","4,234",,,6.5,With no score lower than 6.0 in each section,,,Masters Program,,,"Edinburgh, UK",,,,,,,,,,,,,,,,,,,,23,,,,,,,https://studyabroad.shiksha.com/uk/universities/heriot-watt-university/master-of-business-administration,https://studyabroad.shiksha.com/uk/universities/heriot-watt-university?refCourseId=198606,,,,,,"Rs. 3,74,683","Pound 4,484",,,,,,,2years
"20,05,440","24,000",,,,,60%,,,,,,,No specific cutoff mentioned,,,,,University of Nottingham,,,,,MBA in Finance,,,1 Years,"10,863",130,Rs 28.4 Lakhs,,,640,Score of atleast 5.0 in Analytical Writing Assesment,,,,,"4,21,727","5,047",,,7,no less than 6.0 in any element,,,Masters Program,"4,26,407","5,103","Nottingham, UK",,,,,,,,,,,,,"7,520",90,,,,68,Minimum of 55,24,,,http://www.nottingham.ac.uk/studywithus/international-applicants/country-info/countryinformation/india.aspx,['Offers GREAT-The University of Nottingham Scholarships India and the Chevening Scholarships to international students'],,,https://studyabroad.shiksha.com/uk/universities/university-of-nottingham/mba-in-finance,https://studyabroad.shiksha.com/uk/universities/university-of-nottingham?refCourseId=212656,,,,,,"Rs. 8,66,517","Pound 10,370",,,,,,,3years
"29,24,600","35,000",,,,,60%,"33,424",400,,,,,No specific cutoff mentioned,,,,,University of Reading,,,,,Full-time MBA,,,1 Years,,,Rs 34.5 Lakhs,,,Accepted,,Accepted,,,,"4,82,475","5,774",,,7,No band less than 6.0,,,Masters Program,,,"Reading, UK",,,,,,,,,,,,,,,,,"['Accenture', 'Amazon', 'Bosch Ltd', 'Osmosys', 'Google', 'Microsoft']",67,No band less than 51,25,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-reading/full-time-mba,https://studyabroad.shiksha.com/uk/universities/university-of-reading?refCourseId=198941,,,,,,"Rs. 5,62,693","Pound 6,734","46,794",560,,,,,3years
"15,11,600","18,090",,,,,60%,,,,,,,No specific cutoff mentioned,,,,,UCL institute of Education,,,,,Educational Leadership (International) MBA,,,2 Years,,,Rs 19.6 Lakhs,,,,,,,,,"4,67,435","5,594",,,7,With a minimum of 6.5 in the reading subtest and 6.0 in the writing subtest,,,Masters Program,,,"London, UK",,,,,,,,,,,,,,,,,,69,with a minimum of 59 in each Communicative Skill,26,,,,,,,https://studyabroad.shiksha.com/uk/universities/institute-of-education-university-of-london/educational-leadership-international-mba,https://studyabroad.shiksha.com/uk/universities/institute-of-education-university-of-london?refCourseId=212657,,,,,,"Rs. 4,67,435","Pound 5,594",,,,,,,
"30,08,160","36,000",,,,,No specific cutoff mentioned,"41,780",500,,,,,No specific cutoff mentioned,,,,,Cranfield University,,,,,Master of Business Administration,,,13 Months,,,Rs 37.5 Lakhs,"1,67,120","2,000",Accepted,University welcome applicants with a GMAT score of over 600,Accepted,80th percentile for both verbal and quantitative reasoning,,,"5,24,339","6,275",,,7,,,,Masters Program,,,"Cranfield, UK",,,,,,,,,,,,,,,,,"['Accenture', 'bnp paribas', 'IBM', 'Infosys', 'Johnson Johnson', 'Saint Gobain', 'Adidas', 'KPMG']",68,,27,,,http://www.cranfield.ac.uk/Study/Postgraduate-degrees/International-students/Your-Country/information-for-students-from-India,['University provides a number of funding opportunities available to students from India wishing to study at Cranfield including the Chevening Scholarship and the Commonwealth Scholarship'],,,https://studyabroad.shiksha.com/uk/universities/cranfield-university/master-of-business-administration,https://studyabroad.shiksha.com/uk/universities/cranfield-university?refCourseId=198173,,,,,,"Rs. 7,75,019","Pound 9,275","41,780",500,,,,,3years
"21,68,382","25,950",,,"4,178",50,65%,,,,,,,No specific cutoff mentioned,,,,,King's College London,,,,,MSc International Management,,,1 Years,,,Rs 33.9 Lakhs,,,,,,,,,"5,58,933","6,689",,,7,Minimum 6.5 in each section,,,Masters Program,"6,94,467","8,311","London, UK",,,,,,,,,,,,,,,,,,69,62 in all skills,28,,,http://www.kcl.ac.uk/study/pg/funding/sources/pgt.aspx,"[""Offers President's Scholarships to international student""]",,,https://studyabroad.shiksha.com/uk/universities/king-s-college-london/international-management-msc,https://studyabroad.shiksha.com/uk/universities/king-s-college-london?refCourseId=198935,,,,,,"Rs. 12,57,578","Pound 15,050",,,,,,,
"15,19,275","23,500.00",,,,,60%,,,,,,,No specific cutoff mentioned,,,,,University of Southampton,,,"25,214",390,Master of Business Administration,,,1 Years,,,Rs 19.4 Lakhs,,,,,,,,,"3,41,546","5,283",,,6.5,"6.5 in reading and writing, 6.0 in listening and speaking","6,465",100,Masters Program,,,"Southampton, UK","40,342",,624,,,,,,,,,,,,,,,62,With minimum 51 in each section,29,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-southampton/master-of-business-administration,https://studyabroad.shiksha.com/uk/universities/university-of-southampton?refCourseId=212661,,,,,,"Rs. 4,13,566","USD 6,397",,,,,,,3years
"17,27,603","20,675",,,,,60%,"41,780",500,,,,,No specific cutoff mentioned,,,,,University of Kent,,,,,Kent MBA,,,1 Years,,,Rs 21.5 Lakhs,,,580,,Accepted,,,,"3,53,960","4,236",,,7,no less than 6.5 in reading and writing,"16,712",200,Masters Program,,,"Canterbury, UK",,,,,,,,,,,,,,,,,,62,Including 60 in each subtest,30,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-kent/kent-mba,https://studyabroad.shiksha.com/uk/universities/university-of-kent?refCourseId=206515,,,,,,"Rs. 4,45,876","Pound 5,336","33,424",400,,,,,3years
"15,79,284","18,900",,,,,6.00 GPA,"45,958",550,,,,,No specific cutoff mentioned,,,,,"The School of Oriental and African Studies, University of London",,,,,MSc Finance and Financial Law,,,1 Years,,,Rs 21.5 Lakhs,,,,,,,,,"4,54,316","5,437",,,6.5,with at least 6.5 in all sub scores,,,Masters Program,,,"London, UK",,,,,,,,,,,,,,,"22,979",275,,65,with at least 65 in all sub scores,31,,,http://www.soas.ac.uk/india/#Scholarships,"['SOAS offers a wide-range of scholarships, bursaries and awards to support students']",,,https://studyabroad.shiksha.com/uk/universities/the-school-of-oriental-and-african-studies-university-of-london/msc-finance-and-financial-law,https://studyabroad.shiksha.com/uk/universities/the-school-of-oriental-and-african-studies-university-of-london?refCourseId=212591,,,,,,"Rs. 5,90,101","Pound 7,062","66,848",800,,,,,No work experience mentioned
"20,05,440","24,000",,,,,55%,,,,,,,No specific cutoff mentioned,,,,,University of Surrey,,,,,MBA,,,1 Years,,,Rs 22.1 Lakhs,,,,,,,,,"2,30,626","2,760",,,6.5,Minimum 6.0 in each component,,,Masters Program,,,"Kingston upon Thames, UK",,,,,,,,,,,,,,,,,,62,With no less than 56 in any component,32,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-surrey/mba,https://studyabroad.shiksha.com/uk/universities/university-of-surrey?refCourseId=200449,,,,,,"Rs. 2,30,626","Pound 2,760",,,,,,,3years
"17,54,760","21,000",,,,,58%,,,,,,,No specific cutoff mentioned,,,,,Newcastle University,,,,,Master of Business Administration,,,12 Months,,,Rs 30.4 Lakhs,,,,,,,,,"3,88,387","4,648",,,6.5,with a minimum of 6.0 in all sub sections,"20,890",250,Masters Program,,,"Newcastle upon Tyne, UK",,,,,,,,,,,,,,,"8,77,380","10,500",,62,With a minimum sub-score of 51,33,,,http://www.ncl.ac.uk/nubs/courses/postgrad/mba/fees/scholarships/,"['School has a series of Full-time MBA Scholarships geared towards attracting high-calibre future business leaders from around the world.These are:-Global Leader’s Scholarship,Women’s Scholarship,Nationality Scholarships']",,,https://studyabroad.shiksha.com/uk/universities/newcastle-university/mba,https://studyabroad.shiksha.com/uk/universities/newcastle-university?refCourseId=211932,,,,,,"Rs. 13,11,725","Pound 15,698","25,068",300,,,,,3years
"10,52,856","12,600",,,,,50%,"26,739",320,,,,,No specific cutoff mentioned,,,,,University of Sunderland,,,,,MBA,,,1 Years,,,Rs 14.7 Lakhs,,,,,,,,,"3,23,962","3,877","41,780",500,6,"With 5.5 or higher in each component: reading, writing, listening and speaking",,,Masters Program,,,"Sunderland, UK","29,246",,350,,,,,,,,,,,,,,,,,34,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-sunderland/mba,https://studyabroad.shiksha.com/uk/universities/university-of-sunderland?refCourseId=200948,,,,,,"Rs. 4,28,412","Pound 5,127","6,685",80,,,,,0.5years
"16,29,420","19,500",,,,,50%,,,,,,,No specific cutoff mentioned,,,,,University of East Anglia,,,,,Master of Business Administration,,,12 Months,,,Rs 18.5 Lakhs,,,,,,,,,"2,19,345","2,625",,,6.5,With a minimum score of 6.0 in all components,,,Masters Program,,,"Norwich, UK",,,,,,,,,,,,,,,,,,62,With no less than 55 in each component,35,,,https://www.uea.ac.uk/international-development/scholarships-and-funding/scholarships-international-students,"['All eligible candidates with a 1st Class degree to whom the School have made an offer are automatically given the £1,000 fee waiver']",,,https://studyabroad.shiksha.com/uk/universities/university-of-east-anglia/master-of-business-administration,https://studyabroad.shiksha.com/uk/universities/university-of-east-anglia?refCourseId=194729,,,,,,"Rs. 2,38,146","Pound 2,850","18,801",225,,,,,3years
"16,33,598","19,550",,,,,60%,,,,,,,No specific cutoff mentioned,,,"1,671",20,University of York,,,"48,883",585,MSc in Management,,,12-15 Months,,,Rs 23.3 Lakhs,,,,,,,,,"4,51,642","5,405",,,6.5,With a minimum of 6.5 in Writing and 6.0 in other components,,,Masters Program,,,"York, UK",,,,,,,,,,,,,,,"80,970",969,,61,With a minimum of 61 in Writing and no less than 55 in all other components,36,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-york/ma-in-management,https://studyabroad.shiksha.com/uk/universities/university-of-york?refCourseId=195820,"98,016","1,173",,,,"Rs. 7,23,797","Pound 8,662","42,616",510,,,,,2years
"13,32,782","15,950",,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,,,,,"Birkbeck, University of London",,,,,MSc in Management with International Business,,,1 Years,,,Rs 23.5 Lakhs,,,,,,,,,"6,43,913","7,706",,,6.5,with a minimum of 6.0 in the sub-tests,,,Masters Program,"4,00,587","4,794","London, UK",,,,,,,,,,,,,,,,,,60,with at least 60 in each sub test,37,,,http://www.bbk.ac.uk/prospective/international/fees-money-and-scholarships/scholarships-and-loans/sc,"['Birkbeck is offering an unlimited number of merit scholarships to qualified students from Thailand, Vietnam and India who accept offers to do Master’s degree programmes at Birkbeck, University of London']",,,https://studyabroad.shiksha.com/uk/universities/birkbeck-university-of-london/msc-in-management-with-international-business,https://studyabroad.shiksha.com/uk/universities/birkbeck-university-of-london?refCourseId=211853,,,,,,"Rs. 10,44,500","Pound 12,500",,,,,,,No work experience mentioned
"17,75,650","21,250",,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,,,,,The University of Sheffield,,,,,MBA,,,1 Years,,,Rs 27.7 Lakhs,,,,,,,,,"4,74,621","5,680",,,6.5,"with 6.0 in each component, or equivalent.",,,Masters Program,"5,43,140","6,500","Sheffield, UK",,,,,,,,,,,,,,,,,,,,38,,,http://www.sheffield.ac.uk/international/countries/asia/south-asia/india/scholarships,['The University offers scholarships to Indian students who are admitted into the MBA program.'],,,https://studyabroad.shiksha.com/uk/universities/the-university-of-sheffield/mba,https://studyabroad.shiksha.com/uk/universities/the-university-of-sheffield?refCourseId=200384,,,,,"L-17, W-17, R-18, S-20
Doesn't accept, but considered if other qualifications not met","Rs. 10,17,761","Pound 12,180",,,,,,,3years
"10,44,500","12,500",,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,,,,,Bath Spa University,,,,,MA Business and Management,,,1 Years,,,Rs 12.9 Lakhs,,,,,,,,,"2,57,448","3,081",,,6.5,Minimum of 5.5 in all components,,,Masters Program,,,"Bath, UK",,,,,,,,,,,,,,,,,,,,39,,,,,,,https://studyabroad.shiksha.com/uk/universities/bath-spa-university/ma-business-and-management,https://studyabroad.shiksha.com/uk/universities/bath-spa-university?refCourseId=206409,,,,,,"Rs. 2,57,448","Pound 3,081",,,,,,,
"14,45,588","17,300",,,,,60%,,,,,,,No specific cutoff mentioned,,,,,Queen Mary University of London,,,,,MSc Management,,,1 Years,,,Rs 18.3 Lakhs,,,,,,,,,"4,01,840","4,809",,,7,With minimum 6.0 in Writing,,,Masters Program,,,"London, UK",,,,,,,,,,,,,,,,,,68,,40,,,http://www.qmul.ac.uk/international/international-students/countries/india/index.html,['Queen Mary offers a range of scholarships for students from India at both undergraduate and postgraduate level.'],,,https://studyabroad.shiksha.com/uk/universities/queen-mary-university-of-london/msc-management,https://studyabroad.shiksha.com/uk/universities/queen-mary-university-of-london?refCourseId=200015,,,,,,"Rs. 4,01,840","Pound 4,809",,,,,,,
"15,04,080","18,000",,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,,,,,University of Aberdeen,,,,,Masters of Business Administration,,,1 Years,,,Rs 24.3 Lakhs,,,,,,,,,"4,64,510","5,559",,,6.5,With a score of 5.5 or above in Listening and Speaking & 6.0 or above in Reading and Writing,,,Masters Program,,,"Aberdeen, UK",,,,,,,"12,534",150,,,,,,,"4,67,936","5,600",,62,With a score of 51 or above in Listening and Speaking & 54 or above in Reading and Writing,41,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-aberdeen/masters-of-business-administration,https://studyabroad.shiksha.com/uk/universities/university-of-aberdeen?refCourseId=199621,,,,,,"Rs. 9,44,980","Pound 11,309",,,,,,,2years
"15,00,738","17,960",,,,,70%,"25,068",300,,,,,No specific cutoff mentioned,,,,,Robert Gordon University,,,,,Master of Business Administration,,,54 Weeks,,,Rs 17.6 Lakhs,,,,,,,,,,,,,6.5,With a minimum of 5.5 in all 4 components,,,Masters Program,,,"Aberdeen, UK","2,50,680","3,000",,,,,,,,,,,,,,,,61,Minimum score of 51 in each component,42,,,,,,,https://studyabroad.shiksha.com/uk/universities/robert-gordon-university/master-of-business-administration,https://studyabroad.shiksha.com/uk/universities/robert-gordon-university?refCourseId=200269,,,,,,"Rs. 2,75,748","Pound 3,300",,,,,,,3years
"11,94,908","14,300",,,,,50%,"33,424",400,,,,,No specific cutoff mentioned,,,,,Oxford Brookes University,,,,,MSc Business Management,,,12 Months,,,Rs 19.8 Lakhs,,,,,,,,,"4,66,348","5,581",,,6,"with a minimum of 6.0 in reading and writing, and 5.5 in listening and speaking",,,Masters Program,,,"Oxford, UK",,,,,,,,,,,,,,,"3,00,816","3,600",,,,43,,,http://business.brookes.ac.uk/postgraduate/scholarships/,"['', ' Oxford Brookes offers wide range of scholarships for international students.\n', 'John Henry Brookes Msc scholarship-  students studying full-time master’s degree at business school\n', ' Santander scholarship-  international bank santander offers post graduate scholarship to new Master’s students on annual basis']",,,https://studyabroad.shiksha.com/uk/universities/oxford-brookes-university/msc-business-and-management,https://studyabroad.shiksha.com/uk/universities/oxford-brookes-university?refCourseId=211768,,,,,,"Rs. 8,00,588","Pound 9,581",,,,,,,
