1st Year Fee in Pound,1st Year Total Fee,1st year Fee in INR,Accomodation Offered,Application Fee INR ,Application Fee Pound ,Application fee INR ,Application fee Pound ,Bachelors,Books & Supplies INR ,Books & Supplies Pound ,Books INR ,Books Pound ,Books and Stationary INR ,Books and Stationary Pound ,Books and Supplies INR ,Books and Supplies Pound ,Books and photocopying INR ,Books and photocopying Pound ,Books and supplies INR ,Books and supplies Pound ,Books/ Printing INR ,Books/ Printing Pound ,Books/equipment INR ,Books/equipment Pound ,Class 12th,Course Costs INR ,Course Costs Pound ,Course materials INR ,Course materials Pound ,CourseName,Deposit Fee INR ,Deposit Fee Pound ,Duration,Examination Fee INR ,Examination Fee Pound ,General Expenses INR ,General Expenses Pound ,Hall Deposit INR ,Hall Deposit Pound ,Health cost INR ,Health cost Pound ,Hostel & Meals INR ,Hostel & Meals Pound ,IELTS,IELTS Recommendation,Insurance INR ,Insurance Pound ,International Deposit INR ,International Deposit Pound ,Level,Living Expenses INR ,Living Expenses Pound ,Living cost INR ,Living cost Pound ,Living costs INR ,Living costs Pound ,Miscellaneous INR ,Miscellaneous Pound ,Miscellaneous expense INR ,Miscellaneous expense Pound ,Other Expenses INR ,Other Expenses Pound ,PTE,PTE Recommendation,Payment Administration INR ,Payment Administration Pound ,Personal Expense INR ,Personal Expense Pound ,Personal Expenses INR ,Personal Expenses Pound ,Personal expense INR ,Personal expense Pound ,Private/Public,Residence Booking fee INR ,Residence Booking fee Pound ,Schol Link,Schol Text,Scholarship Offered,Total INR ,Total Pound ,Transportation INR ,Transportation Pound ,URL,Work experience
"23,460",Rs 29.6 Lakhs,"19,60,318",Yes,,,,,50%,,,,,,,"43,451",520,,,,,,,,,No specific cutoff mentioned,,,,,MSc Manufacturing Systems Engineering and Management (MSEM),,,1 Years,,,,,,,,,"7,25,134","8,678",6.5,No band less than 6.0,,,,,Masters Program,,,,,,,,,,,"2,31,879","2,775",62,No section less than 59,,,,,,,,,Public,,,,,No,"Rs. 10,00,464","Pound 11,973",,,https://studyabroad.shiksha.com/uk/universities/university-of-warwick/msc-manufacturing-systems-engineering-and-management-msem,
"13,300",Rs 17.3 Lakhs,"11,11,348",Yes,,,,,55%,,,,,,,,,,,,,,,,,No specific cutoff mentioned,"33,424",400,,,MSc Robotics and Automation,,,1 Years,,,,,,,,,"3,75,017","4,488",6.5,With no element below 5.5,,,,,Masters Program,,,,,,,,,,,"1,57,928","1,890",,,,,,,,,,,Public,,,http://www.salford.ac.uk/international/salford-great-scholarships-india,"[""Offers the Vice Chancellor's Excellence Scholarship, Country bursary scheme and Salford GREAT Scholarships (India)""]",Yes,"Rs. 6,18,678","Pound 7,404","52,309",626,https://studyabroad.shiksha.com/uk/universities/university-of-salford/msc-robotics-and-automation,No work experience mentioned
"19,700",Rs 21.7 Lakhs,"16,46,132",Yes,,,,,60%,,,,,,,,,"33,424",400,,,,,,,No specific cutoff mentioned,,,,,MSc Advanced Mechanical Engineering,"83,560","1,000",1 Years,,,,,,,,,"4,09,444","4,900",6.5,Minimum of 6.0 in all bands,,,,,Masters Program,,,,,,,,,,,,,60,Minimum of 54 in each band,,,,,,,,,Public,,,,,No,"Rs. 5,26,428","Pound 6,300",,,https://studyabroad.shiksha.com/uk/universities/university-of-bristol/msc-advanced-mechanical-engineering,
"18,900",Rs 20.5 Lakhs,"15,79,284",Yes,,,,,No specific cutoff mentioned,,,,,"33,424",400,,,,,,,,,,,No specific cutoff mentioned,,,,,MSc in Mechanical Engineering,,,1 Years,,,,,,,,,"3,33,404","3,990",6.5,No band less than 6.0,,,,,Masters Program,,,,,,,"80,218",960,,,,,62,No band less than 51,,,,,,,,,Public,,,,,No,"Rs. 4,70,443","Pound 5,630","23,397",280,https://studyabroad.shiksha.com/uk/universities/lancaster-university/mechanical-engineering-msc,No work experience mentioned
"12,300",Rs 13.0 Lakhs,"10,27,788",Yes,,,,,60%,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,MSc in Mechanical Engineering,,,1 Years,,,,,,,,,"2,69,899","3,230",6,With no skill below 5.5,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,Public,,,http://www.uws.ac.uk/international-students/fees-and-scholarships/,"['', 'Scotland’s Saltire Scholarship: Open to Canadian, Chinese, Indian, Pakistan and US nationals-£4,000\n', 'UWS International Scholarship: Self-funded (non-EU) students applying to UWS from: South Asia, East Asia & Australia, Middle East and Africa, Europe and CIS, Americas-£2,000\n', 'UWS Merit Based Scholarship: Full-time, full-fee paying (non-EU) students, who are studying undergraduate or postgraduate courses only. Aimed at students who have achieved academic excellence prior to applying to UWS-£1,500']",No,"Rs. 2,69,899","Pound 3,230",,,https://studyabroad.shiksha.com/uk/universities/university-of-the-west-of-scotland/msc-in-mechanical-engineering,
"20,300",Rs 24.5 Lakhs,"16,96,268",Yes,,,,,No specific cutoff mentioned,"38,605",462,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,MSc Mechatronics,,,1 Years,,,,,,,"17,130",205,"4,92,837","5,898",6.5,No less than 6.0 in any element,,,,,Masters Program,,,,,,,,,,,,,62,No less than 59 in each component,,,,,,,"1,49,907","1,794",Public,,,http://www.bath.ac.uk/study/pg/funding/taught/scholarships/index.html,['International students are provided scholarships from University of Bath.'],Yes,"Rs. 7,58,474","Pound 9,077","59,996",718,https://studyabroad.shiksha.com/uk/universities/university-of-bath/msc-mechatronics,
"Pound 12,300",Rs 10.3 Lakhs,"Rs. 10,27,788",Yes,,,,,60%,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,MSc Automotive Engineering,,,18 Months,,,,,,,,,,,6,"Minimum of 5.5 in Speaking, Listening, Reading and Writing",,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,Public,,,http://www.staffs.ac.uk/international/students/how_to_apply/fees_and_scholarships/,"['New Merit Scholarships\n', 'This scholarship is available to indian students who are enrolling on the campus for the first time in September 2015 or January 2016\n', 'Scholarship ranges from GBP 1000-GBP 2000']",Yes,,,,,https://studyabroad.shiksha.com/uk/universities/staffordshire-university/msc-autosport-engineering,No work experience mentioned
"13,500",Rs 18.1 Lakhs,"11,28,060",Yes,,,,,50%,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,"35,179",421,MSc Mechanical Engineering Design,,,1 Years,,,,,,,,,"6,25,029","7,480",6,with a minimum of 5.5 in each component,,,,,Masters Program,,,,,,,"19,553",234,,,,,54,with a minimum of 51 in each component,,,,,,,,,Public,"6,685",80,,,Yes,"Rs. 6,86,445","Pound 8,215",,,https://studyabroad.shiksha.com/uk/universities/bournemouth-university/msc-mechanical-engineering-design,No work experience mentioned
"12,000",Rs 11.9 Lakhs,"10,02,720",Yes,,,,,60%,,,,,,,"37,602",450,,,,,,,,,No specific cutoff mentioned,,,,,Mechanical Engineering - MSc,,,1 Years,,,,,,,,,,,6.5,6.0 in all components,,,,,Masters Program,,,,,,,,,,,,,Accepted,,,,,,,,"1,13,809","1,362",Public,,,,,No,"Rs. 1,83,999","Pound 2,202","32,588",390,https://studyabroad.shiksha.com/uk/universities/birmingham-city-university/mechanical-engineering-msc,
"12,500",Rs 13.0 Lakhs,"10,44,500",Yes,,,,,60%,,,,,,,,,,,"33,424",400,,,,,No specific cutoff mentioned,,,,,Master of Science in Mechanical Engineering,,,1 Years,,,,,,,,,,,6.5,5.5 in each component,,,,,Masters Program,,,,,"2,00,544","2,400","16,712",200,,,,,58,At least 51 in each component,,,,,,,,,Public,,,http://www1.uwe.ac.uk/students/feesandfunding/fundingandscholarships/internationalstudentfunding/uweinternationalscholarships/postgraduatescholarships.aspx,"[""UWE Bristol offers a range of scholarships for international postgraduate students.\nUWE offers Chancellor's Scholarship, Justice Malek Ahmed Scholarship, Professor Arthur Li Scholarship, Millennium Development Scholarship, Global Student Scholarship, Gradlink Scholarship, International Masters Scholarship, Excellence in Sport Scholarship and Centre for Sport Scholarship.""]",Yes,"Rs. 2,50,680","Pound 3,000",,,https://studyabroad.shiksha.com/uk/universities/university-of-the-west-of-england/master-of-science-in-mechanical-engineering,No work experience mentioned
