1st Year Fee in USD,1st Year Total Fee,1st year Fee in INR,Academic Excellence & Success Fee INR ,Academic Excellence & Success Fee USD ,Academic Excellence Fee INR ,Academic Excellence Fee USD ,Academic Facilities Fee INR ,Academic Facilities Fee USD ,Academic Fees INR ,Academic Fees USD ,Academic Records Fee INR ,Academic Records Fee USD ,Accommodation Reservation Charge INR ,Accommodation Reservation Charge USD ,Accommodation Service Fee INR ,Accommodation Service Fee USD ,Accomodation Offered,Ackerman/Kerckhoff Seismic Fee INR ,Ackerman/Kerckhoff Seismic Fee USD ,Activity & Service fee INR ,Activity & Service fee USD ,Activity Fee INR ,Activity Fee USD ,Activity Fees INR ,Activity Fees USD ,Additional Assessment Fee INR ,Additional Assessment Fee USD ,Additional fee INR ,Additional fee USD ,Administrative Fee INR ,Administrative Fee USD ,Advising & Assessment Fee INR ,Advising & Assessment Fee USD ,Application Fee INR ,Application Fee USD ,Application Fees INR ,Application Fees USD ,Application fee INR ,Application fee USD ,Associated Student Body Fee INR ,Associated Student Body Fee USD ,Associated Students Inc INR ,Associated Students Inc USD ,Athletic Fee INR ,Athletic Fee USD ,Athletic fee INR ,Athletic fee USD ,Bachelors,Between Semesters INR ,Between Semesters USD ,Books & Supplies INR ,Books & Supplies USD ,Books INR ,Books USD ,Books and Supplies INR ,Books and Supplies USD ,Books and Supplies fee INR ,Books and Supplies fee USD ,Books and supplies INR ,Books and supplies USD ,Books/Supplies INR ,Books/Supplies USD ,Books/Supplies/Transport/Personal INR ,Books/Supplies/Transport/Personal USD ,Books/supplies/other expenses INR ,Books/supplies/other expenses USD ,Building Fee INR ,Building Fee USD ,COE Program Enhancement Fee INR ,COE Program Enhancement Fee USD ,Campus Based Fees INR ,Campus Based Fees USD ,Campus Fee INR ,Campus Fee USD ,Campus Fees INR ,Campus Fees USD ,Campus Life Fee INR ,Campus Life Fee USD ,Campus Rec Facility Fee INR ,Campus Rec Facility Fee USD ,Campus Union Fee INR ,Campus Union Fee USD ,Campus security Fee INR ,Campus security Fee USD ,Capital Construction Fee INR ,Capital Construction Fee USD ,Class 12th,Clothing/ Maintenance INR ,Clothing/ Maintenance USD ,College Fee INR ,College Fee USD ,Commencement Fee INR ,Commencement Fee USD ,Comprehensive Fee INR ,Comprehensive Fee USD ,Computer / Technology Fee INR ,Computer / Technology Fee USD ,Computer Purchase INR ,Computer Purchase USD ,Computer/Cell Phone INR ,Computer/Cell Phone USD ,Computing and Network Services INR ,Computing and Network Services USD ,CourseName,Discipline Fee INR ,Discipline Fee USD ,Document Evaluation INR ,Document Evaluation USD ,Document Fee INR ,Document Fee USD ,Duration,Early Childhood Edu Center Fee INR ,Early Childhood Edu Center Fee USD ,Engineering Activity Fee INR ,Engineering Activity Fee USD ,Engineering Equipment Fee INR ,Engineering Equipment Fee USD ,Engineering Fee INR ,Engineering Fee USD ,Engineering tuition surcharge INR ,Engineering tuition surcharge USD ,Enrollment Deposit INR ,Enrollment Deposit USD ,Enrollment Fee INR ,Enrollment Fee USD ,Enrollment deposit fee INR ,Enrollment deposit fee USD ,Facilities Fee INR ,Facilities Fee USD ,Fees INR ,Fees USD ,GRE,GRE Recommendation,General Activity Fee INR ,General Activity Fee USD ,General Fee INR ,General Fee USD ,Government Fee INR ,Government Fee USD ,Graduate Differential Fee INR ,Graduate Differential Fee USD ,Graduate Entering Fee INR ,Graduate Entering Fee USD ,Graduate General Fee INR ,Graduate General Fee USD ,Graduate Program Enhancement Fees INR ,Graduate Program Enhancement Fees USD ,Graduate Program Fee INR ,Graduate Program Fee USD ,Graduate Senate Tax INR ,Graduate Senate Tax USD ,Graduate Student Activity Fee INR ,Graduate Student Activity Fee USD ,Graduate Student Association Fee INR ,Graduate Student Association Fee USD ,Health Care Allowance INR ,Health Care Allowance USD ,Health Center Fee INR ,Health Center Fee USD ,Health Fee INR ,Health Fee USD ,Health Service Fee INR ,Health Service Fee USD ,Health Services Fee INR ,Health Services Fee USD ,Health and Counseling Center Fee INR ,Health and Counseling Center Fee USD ,Health and Wellness Fee INR ,Health and Wellness Fee USD ,Health fee INR ,Health fee USD ,Hostel & Meals INR ,Hostel & Meals USD ,Housing Application Fee INR ,Housing Application Fee USD ,Housing Application Fees INR ,Housing Application Fees USD ,Housing Deposit INR ,Housing Deposit USD ,Housing Fee INR ,Housing Fee USD ,IELTS,IELTS Recommendation,IT Service and Maintenance Fee INR ,IT Service and Maintenance Fee USD ,ITIE Fee INR ,ITIE Fee USD ,Incidentals INR ,Incidentals USD ,Information Technology Fee INR ,Information Technology Fee USD ,Information tech fee INR ,Information tech fee USD ,Insurance INR ,Insurance USD ,Intercollegiate Athletics Fee INR ,Intercollegiate Athletics Fee USD ,International Fee INR ,International Fee USD ,International Infrastructural Fee INR ,International Infrastructural Fee USD ,International Services Charge INR ,International Services Charge USD ,International Student Enrollment Fe INR ,International Student Enrollment Fe USD ,International Student Fee INR ,International Student Fee USD ,International Student Service Fee INR ,International Student Service Fee USD ,International student fee INR ,International student fee USD ,Lab Fee INR ,Lab Fee USD ,Laboratory Fees INR ,Laboratory Fees USD ,Level,Library & IT Fee INR ,Library & IT Fee USD ,Library Automation & Technology Fee INR ,Library Automation & Technology Fee USD ,Library Fee INR ,Library Fee USD ,Library Services Fee INR ,Library Services Fee USD ,Living Expenses INR ,Living Expenses USD ,Living expenses INR ,Living expenses USD ,Maintenance Fee INR ,Maintenance Fee USD ,Maintenance of Matriculation Fee INR ,Maintenance of Matriculation Fee USD ,Mandatory Fees INR ,Mandatory Fees USD ,Mandatory Health Fee INR ,Mandatory Health Fee USD ,Mandatory fees INR ,Mandatory fees USD ,Material & Supply Fee INR ,Material & Supply Fee USD ,Matriculation Fee INR ,Matriculation Fee USD ,Medical Plans INR ,Medical Plans USD ,Medical Service Fee INR ,Medical Service Fee USD ,Miscellaneous Expense INR ,Miscellaneous Expense USD ,Miscellaneous Fee INR ,Miscellaneous Fee USD ,Miscellaneous Fees INR ,Miscellaneous Fees USD ,Miscellaneous INR ,Miscellaneous USD ,Miscellaneous and Personal Expense INR ,Miscellaneous and Personal Expense USD ,Miscellaneous expense INR ,Miscellaneous expense USD ,Miscellaneous expenses INR ,Miscellaneous expenses USD ,Miscellaneous fee INR ,Miscellaneous fee USD ,Miscellaneous/Personal INR ,Miscellaneous/Personal USD ,New Student Fee INR ,New Student Fee USD ,New international student fee INR ,New international student fee USD ,Non resident financial aid fee INR ,Non resident financial aid fee USD ,One to One Fitness INR ,One to One Fitness USD ,Orientation Fee INR ,Orientation Fee USD ,Other Costs INR ,Other Costs USD ,Other Mandatory fees INR ,Other Mandatory fees USD ,Other expenses INR ,Other expenses USD ,Other fees INR ,Other fees USD ,PTE,PTE Recommendation,Personal & Misc. INR ,Personal & Misc. USD ,Personal & Miscellaneous INR ,Personal & Miscellaneous USD ,Personal / Misc INR ,Personal / Misc USD ,Personal Expenses INR ,Personal Expenses USD ,Personal INR ,Personal USD ,Personal expense INR ,Personal expense USD ,Personal expenses INR ,Personal expenses USD ,Personal/ travel Expenses INR ,Personal/ travel Expenses USD ,Personal/Miscellaneous INR ,Personal/Miscellaneous USD ,Private/Public,Program Fee INR ,Program Fee USD ,Property Deposit Fee INR ,Property Deposit Fee USD ,Rec Sports Fee INR ,Rec Sports Fee USD ,Records Initiation Fee INR ,Records Initiation Fee USD ,Recreation Center Expansion Fee INR ,Recreation Center Expansion Fee USD ,Recreation Center Fee INR ,Recreation Center Fee USD ,Recreation Fee INR ,Recreation Fee USD ,Recreation and Wellness Center Fee INR ,Recreation and Wellness Center Fee USD ,Reg Fee INR ,Reg Fee USD ,Registration Fee INR ,Registration Fee USD ,Registration and services fee INR ,Registration and services fee USD ,Required Fees INR ,Required Fees USD ,SPARC Fee INR ,SPARC Fee USD ,Schol Link,Schol Text,Scholarship Offered,School Fee INR ,School Fee USD ,School Supplies & Misc INR ,School Supplies & Misc USD ,"Security, Safety, and Transportatio INR ","Security, Safety, and Transportatio USD ",Service Fee INR ,Service Fee USD ,Special Service Fee INR ,Special Service Fee USD ,Student Activity Fee INR ,Student Activity Fee USD ,Student Affairs Fee INR ,Student Affairs Fee USD ,Student Assessment Fee INR ,Student Assessment Fee USD ,Student Athletic Fee INR ,Student Athletic Fee USD ,Student Athletics Fee INR ,Student Athletics Fee USD ,Student Center Fee INR ,Student Center Fee USD ,Student Computing Fee INR ,Student Computing Fee USD ,Student Development Fee INR ,Student Development Fee USD ,Student Excellence Fee INR ,Student Excellence Fee USD ,Student Facility Fee INR ,Student Facility Fee USD ,Student Fees INR ,Student Fees USD ,Student Financial Aid fee INR ,Student Financial Aid fee USD ,Student Health Fee INR ,Student Health Fee USD ,Student Health Services INR ,Student Health Services USD ,Student Life Fee INR ,Student Life Fee USD ,Student Orientation fee INR ,Student Orientation fee USD ,Student Programs Fee INR ,Student Programs Fee USD ,Student Programs and Services Fee INR ,Student Programs and Services Fee USD ,Student Service Facility Fee INR ,Student Service Facility Fee USD ,Student Service Fee INR ,Student Service Fee USD ,Student Services Fee INR ,Student Services Fee USD ,Student Success Fee INR ,Student Success Fee USD ,Student Union Fee INR ,Student Union Fee USD ,Student Union fee INR ,Student Union fee USD ,Sustainability fee INR ,Sustainability fee USD ,Swinney Rec fee INR ,Swinney Rec fee USD ,TOEFL,TOEFL Recommendation,Tech Fee INR ,Tech Fee USD ,Technology Fee INR ,Technology Fee USD ,Technology Fees INR ,Technology Fees USD ,Technology Infrastructure Fee INR ,Technology Infrastructure Fee USD ,Technology fee INR ,Technology fee USD ,Telephone/Cell Phone INR ,Telephone/Cell Phone USD ,Textbooks INR ,Textbooks USD ,Thesis Processing Fee INR ,Thesis Processing Fee USD ,Total INR ,Total USD ,Transport/Miscellaneous INR ,Transport/Miscellaneous USD ,Transportation Fee INR ,Transportation Fee USD ,Transportation INR ,Transportation USD ,Tuition Deposit INR ,Tuition Deposit USD ,UPass Fee INR ,UPass Fee USD ,URL,University Center Fee INR ,University Center Fee USD ,University Charge INR ,University Charge USD ,University Facilities Fee INR ,University Facilities Fee USD ,University Services Fee INR ,University Services Fee USD ,University Student Union INR ,University Student Union USD ,University and Student Fees INR ,University and Student Fees USD ,University-Student Union INR ,University-Student Union USD ,Wellness Center Fee INR ,Wellness Center Fee USD ,Wellness Fee INR ,Wellness Fee USD ,Work experience
"50,980",Rs 41.7 Lakhs,"32,95,857",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,"1,00,854","1,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,MS in Mechanical Engineering,,,,,,,1 Years,,,,,,,,,,,,,,,,,,,"50,168",776,Accepted,"GRE General test required 
Average scores of admitted students is 164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Students seeking financial aid should have a minimum of 7.5 overall band score,,,,,"2,69,591","4,170",,,,,"1,32,209","2,045",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,90,718","2,950",,,,,,,,,,,"85,338","1,320",,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,"Rs. 8,69,607","USD 13,451",,,,,"40,730",630,,,,,https://studyabroad.shiksha.com/usa/universities/boston-university/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"19,460",Rs 26.3 Lakhs,"12,58,089",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"5,819",90,,,,,,,,,,,3.00 GPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,15,883","12,620",,,,,,,,,6.5,,,,,,,,,,,,"1,48,307","2,294",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,00,184","6,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,"Rs. 13,70,192","USD 21,194",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/the-university-of-texas-at-austin/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"20,829",Rs 23.9 Lakhs,"13,46,595",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.90 GPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,MS Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,77,301","13,570",,,,,"21,335",330,,,6,,,,,,,,,,,,"1,15,465","1,786",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,"Rs. 10,46,425","USD 16,186",,,,,,,"32,325",500,,,https://studyabroad.shiksha.com/usa/universities/new-york-institute-of-technology/ms-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"31,851",Rs 36.0 Lakhs,"20,59,167",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,"5,495",85,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,"96,975","1,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,M.S. Mechanical Engineering,,,,,"6,788",105,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,943","1,020",,,,,,,"8,32,692","12,880",,,,,,,,,Accepted,,,,,,,,,,,,"1,85,028","2,862",,,,,,,"9,051",140,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,"2,00,415","3,100",,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,"12,930",200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,"Rs. 15,42,678","USD 23,862",,,,,"67,753","1,048",,,,,https://studyabroad.shiksha.com/usa/universities/columbia-university/m-s-mechanical-engineering,,,,,"59,607",922,,,,,,,,,,,,,
"39,800",Rs 40.2 Lakhs,"25,73,070",,,,,,,"90,769","1,404",,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,M.S. in Mechanical Engineering & Materials Science,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,99,036","15,453",,,,,,,,,Accepted,,,,,,,,,,,,"1,46,368","2,264",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,"1,10,552","1,710",,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,"Rs. 14,50,875","USD 22,442",,,,,"1,04,151","1,611",,,,,https://studyabroad.shiksha.com/usa/universities/yale-university/m-s-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"35,419",Rs 28.2 Lakhs,"22,89,838",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,"5,819",90,,,,,,,,,,,,,3.00 GPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Industrial Engineering,,,,,,,1.5 Years,,,,,,,,,,,,,,,,,,,,,Accepted,• Verbal Reasoning score of at least 146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,12,416","7,926",,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"6,465",100,,,,,,,,,,,,,,,,,,,,,,,https://financialaid.tamu.edu/Graduate/Apply-for-Aid#0-FreeApplicationForFederalStudentAid(FAFSA),['The FAFSA must be completed by students each spring in order to receive financial aid for the upcoming academic year'],Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,948",92,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,"Rs. 5,30,647","USD 8,208",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/texas-a-m-university/master-of-science-in-industrial-engineering,,,,,,,,,,,,,,,,,,,
"23,282",Rs 29.1 Lakhs,"15,05,181",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,"68,141","1,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,M.S. in Industrial Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,172",80,,,"7,22,787","11,180",,,,,,,,,7,,,,,,,,,,,,"1,33,502","2,065",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,"2,34,550","3,628",,,,,,,,,Public,,,,,,,,,,,,,"3,233",50,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,"9,698",150,,,,,,,,,,,,,,,,,,,,,,,"4,526",70,,,"9,698",150,,,,,,,,,,,,,,,90,,,,"6,465",100,,,,,,,,,,,,,"Rs. 14,03,358","USD 21,707",,,,,"2,05,587","3,180",,,,,https://studyabroad.shiksha.com/usa/universities/arizona-state-university/m-s-in-industrial-engineering,,,,,,,,,,,,,,,,,,,
"14,823",Rs 15.7 Lakhs,"9,58,307",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,"5,819",90,,,,,,,,,,,,,3.00 GPA,,,,,,,"77,968","1,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,"32,519",503,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,301,Score of 146 in verbal and 155 in quatitative,,,,,,,,,,,,,"6,982",108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,"1,41,260","2,185","9,891",153,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,"17,456",270,,,,,,,,,,,,,,,,,,,,,"6,142",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,15,336","1,784",,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,577",210,,,,,,,,,,,84,"Writing-22, Speaking-21, Reading-20, Listening-20",,,,,,,,,,,,,,,,,"Rs. 6,11,330","USD 9,456",,,,,"1,84,382","2,852",,,,,https://studyabroad.shiksha.com/usa/universities/the-university-of-texas-at-arlington/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"27,860",Rs 29.3 Lakhs,"18,01,149",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,"4,849",75,,,,,,,,,,,,,3.00 GPA,,,"90,510","1,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,"55,728",862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,93,565","10,728",,,,,,,,,6.5,With minimum 6 in each band,,,,,,,,,,,"73,701","1,140",,,,,,,,,,,,,,,,,,,,,Masters Program,"25,860",400,,,,,,,,,,,"42,281",654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,"With 47 in Listening, 56 in Writing, 51 in Reading and 53 in Speaking",,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,"45,255",700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,"With 17 in Listening, 21 in Writing, 19 in Reading and 20 in Speaking",,,,,,,,,,,,,,,,,"Rs. 11,25,621","USD 17,411",,,,,"93,872","1,452",,,,,https://studyabroad.shiksha.com/usa/universities/university-of-illinois-chicago-campus/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"27,675",Rs 34.1 Lakhs,"17,89,189",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,"58,185",900,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,66,725","16,500",,,,,,,,,6.5,With no less than 6 on each band,,,,,,,,,,,"1,17,404","1,816",,,,,,,,,,,,,,,,,,,"32,325",500,Masters Program,,,,,,,,,,,,,,,,,"55,276",855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,"1,22,835","1,900",,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gapp.usc.edu/graduate-programs/graduate-funding/masters/scholarships/viterbi-scholarships,"[""1. Frederick Angus Gross Scholarship\n2. Dean's Scholarships\n"", ""Eligibility: All residential Master's applicants\nAward Amount: Varies, awarded on basis of overall academic performance""]",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,With no less than 20 on each section,,,,,,,,,,,,,,,,,"Rs. 16,20,064","USD 25,059",,,,,"1,67,314","2,588",,,,,https://studyabroad.shiksha.com/usa/universities/university-of-southern-california/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"48,900",Rs 51.8 Lakhs,"31,61,385",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,"85,985","1,330",,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,"1,93,950","3,000",,,,,Master of Engineering in Mechanical Engineering,,,,,,,1 Years,,,,,,,,,,,,,,,,,,,,,Accepted,Average score: verbal>157; quantitative>164; analytic>3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,48,184","17,760",,,,,,,,,7,,,,,,,,,,,,"1,65,504","2,560",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,252",437,,,,,,,,,,,,,"3,91,908","6,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,"Applicants must meet the minimum requirement of each band: Writing (>=20), Listening (>=15), Reading (>=20) and Speaking (>=22)",,,,,,,,,,,,,,,,,"Rs. 20,13,783","USD 31,149",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/cornell-university/master-of-engineering-in-mechanical-and-aerospace-engineering,,,,,,,,,,,,,,,,,,,
"27,750",Rs 30.9 Lakhs,"17,94,038",,,"24,244",375,,,,,,,,,,,Yes,,,,,"8,275",128,,,,,,,,,,,"5,495",85,,,,,,,,,,,,,3.00 GPA,,,,,,,"88,118","1,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,"1,27,490","1,972",,,,,,,,,MS in Industrial Engineering,,,,,,,1 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,70,771","13,469",,,,,,,,,6.5,No band below 6.0,,,,,,,,,,,,,,,,,,,,,,,"12,930",200,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,227","1,210",,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,"Rs. 12,97,784","USD 20,074",,,,,"82,235","1,272",,,,,https://studyabroad.shiksha.com/usa/universities/university-at-buffalo/ms-in-industrial-engineering,,,,,,,,,,,,,,,,,,,No work experience mentioned
